120
7140
7140	7140
31	4	73.0	33.0
31	5	21.0	85.0
31	6	82.0	24.0
31	7	55.0	51.0
31	8	15.0	91.0
31	9	27.0	79.0
31	10	91.0	15.0
31	11	33.0	73.0
31	12	74.0	32.0
31	13	20.0	86.0
31	14	38.0	68.0
31	15	75.0	31.0
31	16	95.0	11.0
31	17	15.0	91.0
31	18	52.0	54.0
31	19	69.0	37.0
31	20	48.0	58.0
31	21	44.0	62.0
31	22	79.0	27.0
31	23	49.0	57.0
31	24	72.0	34.0
31	25	74.0	32.0
31	26	73.0	33.0
31	27	50.0	56.0
31	28	71.0	35.0
31	29	13.0	93.0
31	30	45.0	61.0
32	1	22.0	84.0
32	2	44.0	62.0
32	3	47.0	59.0
32	4	31.0	75.0
32	5	67.0	39.0
32	6	34.0	72.0
32	7	59.0	47.0
32	8	85.0	21.0
32	9	65.0	41.0
32	10	21.0	85.0
32	11	75.0	31.0
32	12	40.0	66.0
32	13	72.0	34.0
32	14	64.0	42.0
32	15	19.0	87.0
32	16	27.0	79.0
32	17	73.0	33.0
32	18	50.0	56.0
32	19	39.0	67.0
32	20	50.0	56.0
32	21	64.0	42.0
32	22	33.0	73.0
32	23	57.0	49.0
32	24	32.0	74.0
32	25	38.0	68.0
32	26	25.0	81.0
32	27	66.0	40.0
32	28	37.0	69.0
32	29	85.0	21.0
32	30	55.0	51.0
32	31	20.0	86.0
33	1	69.0	37.0
33	2	55.0	51.0
33	3	64.0	42.0
33	4	68.0	38.0
33	5	58.0	48.0
33	6	47.0	59.0
33	7	62.0	44.0
33	8	38.0	68.0
33	9	48.0	58.0
33	10	72.0	34.0
33	11	44.0	62.0
33	12	53.0	53.0
33	13	51.0	55.0
33	14	47.0	59.0
33	15	80.0	26.0
33	16	68.0	38.0
33	17	46.0	60.0
33	18	55.0	51.0
33	19	46.0	60.0
33	20	55.0	51.0
33	21	51.0	55.0
33	22	62.0	44.0
33	23	46.0	60.0
33	24	73.0	33.0
33	25	51.0	55.0
33	26	84.0	22.0
33	27	31.0	75.0
33	28	54.0	52.0
33	29	38.0	68.0
33	30	62.0	44.0
33	31	65.0	41.0
33	32	29.0	77.0
34	1	80.0	26.0
34	2	60.0	46.0
34	3	45.0	61.0
34	4	71.0	35.0
34	5	27.0	79.0
34	6	96.0	10.0
34	7	49.0	57.0
34	8	25.0	81.0
34	9	27.0	79.0
34	10	83.0	23.0
34	11	27.0	79.0
34	12	76.0	30.0
34	13	14.0	92.0
34	14	40.0	66.0
34	15	67.0	39.0
34	16	85.0	21.0
34	17	25.0	81.0
34	18	50.0	56.0
34	19	81.0	25.0
34	20	46.0	60.0
34	21	36.0	70.0
34	22	71.0	35.0
34	23	53.0	53.0
34	24	58.0	48.0
34	25	78.0	28.0
34	26	59.0	47.0
34	27	56.0	50.0
34	28	83.0	23.0
34	29	27.0	79.0
34	30	41.0	65.0
34	31	82.0	24.0
34	32	30.0	76.0
34	33	55.0	51.0
35	1	18.0	88.0
35	2	36.0	70.0
35	3	71.0	35.0
35	4	33.0	73.0
35	5	95.0	11.0
35	6	22.0	84.0
35	7	41.0	65.0
35	8	83.0	23.0
35	9	85.0	21.0
35	10	27.0	79.0
35	11	71.0	35.0
35	12	34.0	72.0
35	13	88.0	18.0
35	14	68.0	38.0
35	15	43.0	63.0
35	16	21.0	85.0
35	17	87.0	19.0
35	18	68.0	38.0
35	19	39.0	67.0
35	20	70.0	36.0
35	21	54.0	52.0
35	22	35.0	71.0
35	23	53.0	53.0
35	24	50.0	56.0
35	25	22.0	84.0
35	26	49.0	57.0
35	27	42.0	64.0
35	28	27.0	79.0
35	29	77.0	29.0
35	30	53.0	53.0
35	31	18.0	88.0
35	32	70.0	36.0
35	33	53.0	53.0
35	34	24.0	82.0
36	1	87.0	19.0
36	2	61.0	45.0
36	3	48.0	58.0
36	4	68.0	38.0
36	5	24.0	82.0
36	6	81.0	25.0
36	7	54.0	52.0
36	8	24.0	82.0
36	9	30.0	76.0
36	10	86.0	20.0
36	11	36.0	70.0
36	12	65.0	41.0
36	13	19.0	87.0
36	14	43.0	63.0
36	15	74.0	32.0
36	16	92.0	14.0
36	17	18.0	88.0
36	18	43.0	63.0
36	19	68.0	38.0
36	20	43.0	63.0
36	21	45.0	61.0
36	22	76.0	30.0
36	23	48.0	58.0
36	24	65.0	41.0
36	25	75.0	31.0
36	26	66.0	40.0
36	27	51.0	55.0
36	28	78.0	28.0
36	29	22.0	84.0
36	30	46.0	60.0
36	31	93.0	13.0
36	32	25.0	81.0
36	33	66.0	40.0
36	34	87.0	19.0
36	35	19.0	87.0
37	1	35.0	71.0
37	2	55.0	51.0
37	3	38.0	68.0
37	4	56.0	50.0
37	5	74.0	32.0
37	6	39.0	67.0
37	7	58.0	48.0
37	8	70.0	36.0
37	9	58.0	48.0
37	10	28.0	78.0
37	11	54.0	52.0
37	12	51.0	55.0
37	13	63.0	43.0
37	14	67.0	39.0
37	15	34.0	72.0
37	16	28.0	78.0
37	17	78.0	28.0
37	18	43.0	63.0
37	19	44.0	62.0
37	20	47.0	59.0
37	21	57.0	49.0
37	22	26.0	80.0
37	23	64.0	42.0
37	24	31.0	75.0
37	25	53.0	53.0
37	26	36.0	70.0
37	27	57.0	49.0
37	28	46.0	60.0
37	29	78.0	28.0
37	30	70.0	36.0
37	31	25.0	81.0
37	32	75.0	31.0
37	33	44.0	62.0
37	34	43.0	63.0
37	35	71.0	35.0
37	36	30.0	76.0
38	1	94.0	12.0
38	2	58.0	48.0
38	3	55.0	51.0
38	4	73.0	33.0
38	5	27.0	79.0
38	6	82.0	24.0
38	7	51.0	55.0
38	8	17.0	89.0
38	9	27.0	79.0
38	10	97.0	9.0
38	11	27.0	79.0
38	12	80.0	26.0
38	13	20.0	86.0
38	14	40.0	66.0
38	15	81.0	25.0
38	16	97.0	9.0
38	17	17.0	89.0
38	18	58.0	48.0
38	19	71.0	35.0
38	20	54.0	52.0
38	21	38.0	68.0
38	22	79.0	27.0
38	23	51.0	55.0
38	24	78.0	28.0
38	25	72.0	34.0
38	26	77.0	29.0
38	27	44.0	62.0
38	28	75.0	31.0
38	29	13.0	93.0
38	30	43.0	63.0
38	31	96.0	10.0
