"USP2"	"AASS"	+
"MSR1"	"AASS"	-
"CTPS2"	"AASS"	-
"MSMO1"	"AASS"	-
"RASGRF1"	"AASS"	-
"MTMR1"	"AASS"	-
"PHKA1"	"AASS"	-
"RRP15"	"AASS"	-
"IP6K2"	"AASS"	+
"NUCKS1"	"AASS"	-
"SLC6A15"	"AASS"	+
"SLC6A15"	"AASS"	-
"PVR"	"AASS"	+
"CST7"	"AASS"	+
"NEBL"	"AASS"	-
"BPIFB2"	"AASS"	+
"ME2"	"AASS"	-
"ITGB5"	"AASS"	+
"ZNF446"	"AASS"	+
"WBP11"	"AASS"	-
"CAD"	"AASS"	-
"PREP"	"AASS"	-
"CPNE3"	"AASS"	-
"ATG16L1"	"AASS"	-
"HSD17B2"	"AASS"	+
"PPP1R15A"	"AASS"	+
"CETP"	"AASS"	+
"DOCK3"	"AASS"	-
"SNX1"	"MPND"	-
"C6"	"MPND"	-
"CTPS2"	"MPND"	+
"VAMP3"	"MPND"	-
"GYG2"	"MPND"	-
"COL17A1"	"MPND"	-
"ST6GALNAC1"	"MPND"	-
"HMMR"	"MPND"	+
"MCM2"	"MPND"	+
"MGLL"	"MPND"	-
"MCAM"	"MPND"	-
"PPP1R15A"	"MPND"	-
"CETP"	"MPND"	-
"MAPK8IP2"	"MGST1"	-
"CLCN6"	"MGST1"	+
"SNX1"	"MGST1"	+
"C6"	"MGST1"	+
"FOXP3"	"MGST1"	-
"ST6GALNAC1"	"MGST1"	+
"HMMR"	"MGST1"	-
"MCM2"	"MGST1"	-
"CAD"	"MGST1"	-
"PPP1R15A"	"MGST1"	+
"CETP"	"MGST1"	+
"IDS"	"MAPK8IP2"	-
"TTC19"	"MAPK8IP2"	+
"SNX1"	"MAPK8IP2"	+
"SNX1"	"MAPK8IP2"	-
"USP2"	"MAPK8IP2"	-
"METTL1"	"MAPK8IP2"	+
"EPHA3"	"MAPK8IP2"	+
"EPHA3"	"MAPK8IP2"	-
"CTPS2"	"MAPK8IP2"	+
"MRPS10"	"MAPK8IP2"	+
"FOXP3"	"MAPK8IP2"	+
"FOXP3"	"MAPK8IP2"	-
"MSMO1"	"MAPK8IP2"	+
"MRTO4"	"MAPK8IP2"	+
"PRDM1"	"MAPK8IP2"	-
"RASGRF1"	"MAPK8IP2"	-
"YIPF1"	"MAPK8IP2"	+
"ZNF112"	"MAPK8IP2"	+
"MTMR1"	"MAPK8IP2"	+
"COL17A1"	"MAPK8IP2"	-
"CLDN18"	"MAPK8IP2"	-
"RRP15"	"MAPK8IP2"	+
"MAST4"	"MAPK8IP2"	+
"MAST4"	"MAPK8IP2"	-
"NUCKS1"	"MAPK8IP2"	+
"SLC6A15"	"MAPK8IP2"	-
