CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 78153	0.001514104235413822	139
Cluster 80948	0.0015052756087515129	140
Cluster 1767	0.0014953526213840526	141
Cluster 72957	0.0014736214648678526	142
Cluster 8902	0.0014723918616983934	143
Cluster 6734	0.0014715855203560287	144
Cluster 16034	0.0014714753806561811	145
Cluster 61953	0.0014658709971526447	146
Cluster 18230	0.001445014004228238	147
Cluster 80706	0.0014423171248839491	148
Cluster 31054	0.0014419873488391828	149
Cluster 46935	0.0014187620073264156	150
Cluster 17458	0.001415775096646567	151
Cluster 75645	0.0014055364178685407	152
Cluster 4421	0.0013936714099025388	153
Cluster 49998	0.0013923740736434967	154
Cluster 35839	0.0013907454776252125	155
Cluster 35840	0.0013907454776252125	156
Cluster 291	0.0013867089226164112	157
Cluster 2070	0.0013867089226164112	158
Cluster 3053	0.0013867089226164112	159
Cluster 4999	0.0013867089226164112	160
Cluster 7626	0.0013867089226164112	161
Cluster 10765	0.0013867089226164112	162
Cluster 11019	0.0013867089226164112	163
Cluster 12148	0.0013867089226164112	164
Cluster 12346	0.0013867089226164112	165
Cluster 12748	0.0013867089226164112	166
Cluster 13038	0.0013867089226164112	167
Cluster 14333	0.0013867089226164112	168
Cluster 14429	0.0013867089226164112	169
Cluster 14885	0.0013867089226164112	170
Cluster 15084	0.0013867089226164112	171
Cluster 15724	0.0013867089226164112	172
Cluster 18341	0.0013867089226164112	173
Cluster 19476	0.0013867089226164112	174
Cluster 21665	0.0013867089226164112	175
Cluster 22324	0.0013867089226164112	176
Cluster 25472	0.0013867089226164112	177
Cluster 26340	0.0013867089226164112	178
Cluster 29309	0.0013867089226164112	179
Cluster 31064	0.0013867089226164112	180
Cluster 32148	0.0013867089226164112	181
Cluster 34392	0.0013867089226164112	182
Cluster 34489	0.0013867089226164112	183
Cluster 34680	0.0013867089226164112	184
Cluster 35266	0.0013867089226164112	185
Cluster 35736	0.0013867089226164112	186
Cluster 37260	0.0013867089226164112	187
Cluster 41027	0.0013867089226164112	188
Cluster 42066	0.0013867089226164112	189
Cluster 48805	0.0013867089226164112	190
Cluster 49368	0.0013867089226164112	191
Cluster 50455	0.0013867089226164112	192
Cluster 54098	0.0013867089226164112	193
Cluster 57876	0.0013867089226164112	194
Cluster 58284	0.0013867089226164112	195
Cluster 58743	0.0013867089226164112	196
Cluster 59606	0.0013867089226164112	197
Cluster 63581	0.0013867089226164112	198
Cluster 64041	0.0013867089226164112	199
Cluster 64360	0.0013867089226164112	200
Cluster 65210	0.0013867089226164112	201
Cluster 66019	0.0013867089226164112	202
Cluster 66046	0.0013867089226164112	203
Cluster 67148	0.0013867089226164112	204
Cluster 68520	0.0013867089226164112	205
Cluster 70665	0.0013867089226164112	206
Cluster 74016	0.0013867089226164112	207
Cluster 75340	0.0013867089226164112	208
Cluster 75999	0.0013867089226164112	209
Cluster 83786	0.0013867089226164112	210
Cluster 85557	0.0013867089226164112	211
Cluster 86165	0.0013867089226164112	212
Cluster 87512	0.0013867089226164112	213
Cluster 92328	0.0013867089226164112	214
Cluster 28185	0.0013867089226164112	215
Cluster 44144	0.0013867089226164112	216
Cluster 57488	0.0013867089226164112	217
Cluster 76922	0.00136242329694007	218
Cluster 38638	0.001352785668045783	219
