DNA	Degree	Degree Rank
Cluster 18269	47.0	195
Cluster 64104	47.0	196
Cluster 66370	47.0	197
Cluster 3159	46.0	198
Cluster 53095	46.0	199
Cluster 60080	46.0	200
Cluster 75987	46.0	201
Cluster 76896	46.0	202
Cluster 87320	46.0	203
Cluster 1565	45.0	204
Cluster 11775	45.0	205
Cluster 24467	45.0	206
Cluster 40433	45.0	207
Cluster 50597	45.0	208
Cluster 59385	45.0	209
Cluster 226	44.0	210
Cluster 11164	44.0	211
Cluster 53619	44.0	212
Cluster 58323	44.0	213
Cluster 60755	44.0	214
Cluster 45985	43.0	215
Cluster 13266	42.0	216
Cluster 45837	42.0	217
Cluster 45975	42.0	218
Cluster 80948	42.0	219
Cluster 84045	42.0	220
Cluster 9126	41.0	221
Cluster 83824	41.0	222
Cluster 4194	40.0	223
Cluster 18412	40.0	224
Cluster 59707	40.0	225
Cluster 75128	40.0	226
Cluster 87276	40.0	227
Cluster 27579	39.0	228
Cluster 29246	39.0	229
Cluster 41945	38.0	230
Cluster 49117	38.0	231
Cluster 830	37.0	232
Cluster 12436	37.0	233
Cluster 24525	37.0	234
Cluster 58857	37.0	235
Cluster 14671	36.0	236
Cluster 44106	36.0	237
Cluster 51720	36.0	238
Cluster 54853	36.0	239
Cluster 55962	36.0	240
Cluster 83431	36.0	241
Cluster 87262	36.0	242
Cluster 14386	35.0	243
Cluster 32775	35.0	244
Cluster 38638	35.0	245
Cluster 40261	35.0	246
Cluster 45530	35.0	247
Cluster 66562	35.0	248
Cluster 72789	35.0	249
Cluster 27065	34.0	250
Cluster 53437	34.0	251
Cluster 59513	34.0	252
Cluster 83665	34.0	253
Cluster 91517	34.0	254
Cluster 91656	34.0	255
Cluster 3762	33.0	256
Cluster 26999	33.0	257
Cluster 42230	33.0	258
Cluster 74637	33.0	259
Cluster 80727	33.0	260
Cluster 7576	32.0	261
Cluster 16034	32.0	262
Cluster 34745	32.0	263
Cluster 63153	32.0	264
Cluster 68820	32.0	265
Cluster 77251	32.0	266
Cluster 79793	32.0	267
Cluster 2848	31.0	268
Cluster 11025	31.0	269
Cluster 16309	31.0	270
Cluster 50119	31.0	271
Cluster 51816	31.0	272
Cluster 57455	31.0	273
Cluster 26856	30.0	274
Cluster 28227	30.0	275
Cluster 43315	30.0	276
Cluster 49258	30.0	277
Cluster 58305	30.0	278
Cluster 89412	30.0	279
Cluster 12517	29.0	280
Cluster 14372	29.0	281
Cluster 22454	29.0	282
Cluster 25499	29.0	283
Cluster 53328	29.0	284
Cluster 55756	29.0	285
Cluster 78153	29.0	286
Cluster 44129	28.0	287
Cluster 54548	28.0	288
Cluster 70100	28.0	289
Cluster 4517	27.0	290
Cluster 10142	27.0	291
Cluster 21278	27.0	292
Cluster 22036	27.0	293
Cluster 33695	27.0	294
Cluster 44132	27.0	295
Cluster 69961	27.0	296
Cluster 90186	27.0	297
Cluster 959	26.0	298
Cluster 13693	26.0	299
Cluster 16337	26.0	300
Cluster 22376	26.0	301
Cluster 53263	26.0	302
Cluster 54737	26.0	303
Cluster 59786	26.0	304
Cluster 61325	26.0	305
Cluster 62878	26.0	306
Cluster 73992	26.0	307
Cluster 91323	26.0	308
Cluster 1220	25.0	309
Cluster 6039	25.0	310
Cluster 19746	25.0	311
Cluster 53861	25.0	312
Cluster 53980	25.0	313
Cluster 59259	25.0	314
Cluster 61307	25.0	315
Cluster 73263	25.0	316
Cluster 89092	25.0	317
Cluster 15387	24.0	318
Cluster 18522	24.0	319
Cluster 33790	24.0	320
Cluster 35137	24.0	321
Cluster 66051	24.0	322
Cluster 76622	24.0	323
Cluster 83419	24.0	324
Cluster 91401	24.0	325
Cluster 91685	24.0	326
Cluster 11447	23.0	327
Cluster 14084	23.0	328
Cluster 24847	23.0	329
Cluster 27223	23.0	330
Cluster 44151	23.0	331
Cluster 44278	23.0	332
Cluster 50662	23.0	333
Cluster 53926	23.0	334
Cluster 56080	23.0	335
Cluster 66071	23.0	336
Cluster 67654	23.0	337
Cluster 70159	23.0	338
Cluster 76388	23.0	339
Cluster 77818	23.0	340
Cluster 78829	23.0	341
Cluster 80537	23.0	342
Cluster 1992	22.0	343
Cluster 3103	22.0	344
Cluster 7590	22.0	345
Cluster 12922	22.0	346
Cluster 14529	22.0	347
Cluster 18402	22.0	348
Cluster 22327	22.0	349
Cluster 27847	22.0	350
Cluster 43984	22.0	351
Cluster 47350	22.0	352
Cluster 49933	22.0	353
Cluster 63419	22.0	354
Cluster 63786	22.0	355
Cluster 74585	22.0	356
Cluster 81747	22.0	357
Cluster 83742	22.0	358
Cluster 90448	22.0	359
Cluster 1077	21.0	360
Cluster 3969	21.0	361
Cluster 4944	21.0	362
Cluster 17318	21.0	363
Cluster 18299	21.0	364
Cluster 33411	21.0	365
Cluster 37113	21.0	366
Cluster 40763	21.0	367
Cluster 56630	21.0	368
Cluster 68477	21.0	369
Cluster 75317	21.0	370
Cluster 77585	21.0	371
Cluster 81978	21.0	372
Cluster 82874	21.0	373
Cluster 83428	21.0	374
Cluster 90029	21.0	375
Cluster 5303	20.0	376
Cluster 8862	20.0	377
Cluster 18591	20.0	378
Cluster 24382	20.0	379
Cluster 29016	20.0	380
Cluster 35797	20.0	381
Cluster 43875	20.0	382
Cluster 50487	20.0	383
Cluster 52661	20.0	384
Cluster 60998	20.0	385
Cluster 77347	20.0	386
Cluster 78751	20.0	387
Cluster 2585	19.0	388
Cluster 4364	19.0	389
Cluster 11653	19.0	390
Cluster 24558	19.0	391
Cluster 28362	19.0	392
Cluster 35940	19.0	393
Cluster 43538	19.0	394
Cluster 44463	19.0	395
Cluster 52660	19.0	396
Cluster 67761	19.0	397
Cluster 71982	19.0	398
Cluster 74629	19.0	399
Cluster 77026	19.0	400
Cluster 78296	19.0	401
Cluster 13995	18.0	402
Cluster 25183	18.0	403
Cluster 25723	18.0	404
Cluster 27485	18.0	405
Cluster 28055	18.0	406
Cluster 29035	18.0	407
Cluster 33105	18.0	408
Cluster 39373	18.0	409
Cluster 45091	18.0	410
Cluster 45490	18.0	411
Cluster 47351	18.0	412
Cluster 52373	18.0	413
Cluster 65395	18.0	414
Cluster 68451	18.0	415
Cluster 71130	18.0	416
Cluster 87835	18.0	417
Cluster 1767	17.0	418
Cluster 4736	17.0	419
Cluster 6119	17.0	420
Cluster 17877	17.0	421
Cluster 31633	17.0	422
Cluster 38184	17.0	423
Cluster 42072	17.0	424
Cluster 44565	17.0	425
Cluster 48287	17.0	426
Cluster 48914	17.0	427
Cluster 50279	17.0	428
Cluster 50651	17.0	429
Cluster 57451	17.0	430
Cluster 68422	17.0	431
Cluster 74763	17.0	432
Cluster 75826	17.0	433
Cluster 76639	17.0	434
Cluster 1078	16.0	435
Cluster 3038	16.0	436
Cluster 4787	16.0	437
Cluster 6882	16.0	438
Cluster 7465	16.0	439
Cluster 21349	16.0	440
Cluster 23040	16.0	441
Cluster 29676	16.0	442
Cluster 32043	16.0	443
Cluster 33388	16.0	444
Cluster 33946	16.0	445
Cluster 36236	16.0	446
Cluster 50085	16.0	447
Cluster 56599	16.0	448
Cluster 58365	16.0	449
Cluster 61703	16.0	450
Cluster 64711	16.0	451
Cluster 64949	16.0	452
Cluster 65080	16.0	453
Cluster 65688	16.0	454
Cluster 66935	16.0	455
Cluster 72257	16.0	456
Cluster 74189	16.0	457
Cluster 74807	16.0	458
Cluster 86237	16.0	459
Cluster 91306	16.0	460
Cluster 92916	16.0	461
Cluster 93468	16.0	462
Cluster 12090	15.0	463
Cluster 15634	15.0	464
Cluster 16607	15.0	465
Cluster 19753	15.0	466
Cluster 23817	15.0	467
Cluster 25725	15.0	468
Cluster 28556	15.0	469
Cluster 29269	15.0	470
Cluster 36894	15.0	471
Cluster 44613	15.0	472
Cluster 47756	15.0	473
Cluster 48333	15.0	474
Cluster 53866	15.0	475
Cluster 55730	15.0	476
Cluster 57773	15.0	477
Cluster 58003	15.0	478
Cluster 66616	15.0	479
Cluster 68054	15.0	480
Cluster 68874	15.0	481
Cluster 72333	15.0	482
Cluster 76309	15.0	483
Cluster 78046	15.0	484
Cluster 79060	15.0	485
Cluster 91861	15.0	486
Cluster 92348	15.0	487
Cluster 1985	14.0	488
Cluster 3912	14.0	489
Cluster 9714	14.0	490
Cluster 17009	14.0	491
Cluster 31103	14.0	492
Cluster 33478	14.0	493
Cluster 33789	14.0	494
Cluster 40033	14.0	495
Cluster 43348	14.0	496
Cluster 44604	14.0	497
Cluster 48354	14.0	498
Cluster 50024	14.0	499
Cluster 55861	14.0	500
Cluster 57448	14.0	501
Cluster 61397	14.0	502
Cluster 63032	14.0	503
Cluster 67293	14.0	504
Cluster 70360	14.0	505
Cluster 73171	14.0	506
Cluster 76382	14.0	507
Cluster 87923	14.0	508
Cluster 90015	14.0	509
Cluster 1882	13.0	510
Cluster 6005	13.0	511
Cluster 8164	13.0	512
Cluster 9554	13.0	513
Cluster 10559	13.0	514
Cluster 11329	13.0	515
Cluster 17977	13.0	516
Cluster 21567	13.0	517
Cluster 23854	13.0	518
Cluster 24242	13.0	519
Cluster 27722	13.0	520
Cluster 30377	13.0	521
Cluster 34675	13.0	522
Cluster 39543	13.0	523
Cluster 40760	13.0	524
Cluster 40863	13.0	525
Cluster 41636	13.0	526
Cluster 42766	13.0	527
Cluster 43540	13.0	528
Cluster 46164	13.0	529
Cluster 48044	13.0	530
Cluster 51459	13.0	531
Cluster 51630	13.0	532
Cluster 53701	13.0	533
Cluster 55671	13.0	534
Cluster 57318	13.0	535
Cluster 57892	13.0	536
Cluster 59690	13.0	537
Cluster 63328	13.0	538
Cluster 71129	13.0	539
Cluster 71464	13.0	540
Cluster 73659	13.0	541
Cluster 73742	13.0	542
Cluster 74451	13.0	543
Cluster 78422	13.0	544
Cluster 81029	13.0	545
Cluster 86728	13.0	546
Cluster 26	12.0	547
Cluster 376	12.0	548
Cluster 2925	12.0	549
Cluster 4278	12.0	550
Cluster 4676	12.0	551
Cluster 5917	12.0	552
Cluster 7446	12.0	553
Cluster 9289	12.0	554
Cluster 10161	12.0	555
Cluster 14914	12.0	556
Cluster 20099	12.0	557
Cluster 21532	12.0	558
Cluster 21750	12.0	559
Cluster 32706	12.0	560
Cluster 37127	12.0	561
Cluster 37542	12.0	562
Cluster 37737	12.0	563
Cluster 38188	12.0	564
Cluster 38211	12.0	565
Cluster 41898	12.0	566
Cluster 42360	12.0	567
Cluster 43133	12.0	568
Cluster 45958	12.0	569
Cluster 47565	12.0	570
Cluster 47811	12.0	571
Cluster 49495	12.0	572
Cluster 51223	12.0	573
Cluster 52524	12.0	574
Cluster 56188	12.0	575
Cluster 57003	12.0	576
Cluster 57233	12.0	577
Cluster 59376	12.0	578
Cluster 60340	12.0	579
Cluster 62518	12.0	580
Cluster 66493	12.0	581
Cluster 69646	12.0	582
Cluster 71103	12.0	583
Cluster 72581	12.0	584
Cluster 74691	12.0	585
Cluster 76328	12.0	586
Cluster 76359	12.0	587
Cluster 78399	12.0	588
Cluster 79027	12.0	589
Cluster 80874	12.0	590
Cluster 80876	12.0	591
Cluster 89432	12.0	592
Cluster 90836	12.0	593
Cluster 91148	12.0	594
Cluster 462	11.0	595
Cluster 5388	11.0	596
Cluster 5505	11.0	597
Cluster 5837	11.0	598
Cluster 8750	11.0	599
Cluster 10089	11.0	600
Cluster 12801	11.0	601
Cluster 15294	11.0	602
Cluster 15395	11.0	603
Cluster 17050	11.0	604
Cluster 21018	11.0	605
Cluster 22218	11.0	606
Cluster 28260	11.0	607
Cluster 30233	11.0	608
Cluster 35168	11.0	609
Cluster 36247	11.0	610
Cluster 44808	11.0	611
Cluster 45163	11.0	612
Cluster 45471	11.0	613
Cluster 48776	11.0	614
Cluster 49178	11.0	615
Cluster 50100	11.0	616
Cluster 52071	11.0	617
Cluster 54333	11.0	618
Cluster 54738	11.0	619
Cluster 57792	11.0	620
Cluster 60541	11.0	621
Cluster 65368	11.0	622
Cluster 66858	11.0	623
Cluster 70242	11.0	624
Cluster 74636	11.0	625
Cluster 75779	11.0	626
Cluster 79805	11.0	627
Cluster 82849	11.0	628
Cluster 84410	11.0	629
Cluster 446	10.0	630
Cluster 1024	10.0	631
Cluster 3922	10.0	632
Cluster 3931	10.0	633
Cluster 4490	10.0	634
Cluster 5800	10.0	635
Cluster 6302	10.0	636
Cluster 8116	10.0	637
Cluster 9286	10.0	638
Cluster 11179	10.0	639
Cluster 15818	10.0	640
Cluster 16288	10.0	641
Cluster 17319	10.0	642
Cluster 21530	10.0	643
Cluster 24018	10.0	644
Cluster 24330	10.0	645
Cluster 28890	10.0	646
Cluster 30101	10.0	647
Cluster 30605	10.0	648
Cluster 36720	10.0	649
Cluster 43069	10.0	650
Cluster 43441	10.0	651
Cluster 44265	10.0	652
Cluster 47901	10.0	653
Cluster 48426	10.0	654
Cluster 50422	10.0	655
Cluster 52395	10.0	656
Cluster 53084	10.0	657
Cluster 53125	10.0	658
Cluster 53160	10.0	659
Cluster 53503	10.0	660
Cluster 54687	10.0	661
Cluster 56279	10.0	662
Cluster 56634	10.0	663
Cluster 57242	10.0	664
Cluster 65974	10.0	665
Cluster 70358	10.0	666
Cluster 71805	10.0	667
Cluster 73494	10.0	668
Cluster 74804	10.0	669
Cluster 76563	10.0	670
Cluster 78693	10.0	671
Cluster 80706	10.0	672
Cluster 81903	10.0	673
Cluster 83651	10.0	674
Cluster 87085	10.0	675
Cluster 87151	10.0	676
Cluster 90880	10.0	677
Cluster 93686	10.0	678
Cluster 1455	9.0	679
Cluster 2580	9.0	680
Cluster 5992	9.0	681
Cluster 8824	9.0	682
Cluster 11455	9.0	683
Cluster 13825	9.0	684
Cluster 17475	9.0	685
Cluster 21509	9.0	686
Cluster 22027	9.0	687
Cluster 22206	9.0	688
Cluster 22653	9.0	689
Cluster 23101	9.0	690
Cluster 26592	9.0	691
Cluster 28520	9.0	692
Cluster 32650	9.0	693
Cluster 36738	9.0	694
Cluster 40927	9.0	695
Cluster 44261	9.0	696
Cluster 44324	9.0	697
Cluster 44647	9.0	698
Cluster 46522	9.0	699
Cluster 48271	9.0	700
Cluster 48627	9.0	701
Cluster 48647	9.0	702
Cluster 48840	9.0	703
Cluster 50035	9.0	704
Cluster 52401	9.0	705
Cluster 56185	9.0	706
Cluster 63275	9.0	707
Cluster 63331	9.0	708
Cluster 63342	9.0	709
Cluster 65057	9.0	710
Cluster 65112	9.0	711
Cluster 66269	9.0	712
Cluster 66782	9.0	713
Cluster 68840	9.0	714
Cluster 69506	9.0	715
Cluster 73476	9.0	716
Cluster 74471	9.0	717
Cluster 75926	9.0	718
Cluster 76348	9.0	719
Cluster 76650	9.0	720
Cluster 78052	9.0	721
Cluster 80740	9.0	722
Cluster 82370	9.0	723
Cluster 82625	9.0	724
Cluster 87258	9.0	725
Cluster 87306	9.0	726
Cluster 89696	9.0	727
Cluster 89815	9.0	728
Cluster 91879	9.0	729
Cluster 838	8.0	730
Cluster 1177	8.0	731
Cluster 2119	8.0	732
Cluster 4715	8.0	733
Cluster 6546	8.0	734
Cluster 8581	8.0	735
Cluster 10152	8.0	736
Cluster 11154	8.0	737
Cluster 11509	8.0	738
Cluster 11913	8.0	739
Cluster 12536	8.0	740
Cluster 13890	8.0	741
Cluster 15629	8.0	742
Cluster 17434	8.0	743
Cluster 20848	8.0	744
Cluster 22356	8.0	745
Cluster 23613	8.0	746
Cluster 28673	8.0	747
Cluster 29482	8.0	748
Cluster 31089	8.0	749
Cluster 35778	8.0	750
Cluster 36758	8.0	751
Cluster 43856	8.0	752
Cluster 43939	8.0	753
Cluster 45003	8.0	754
Cluster 45897	8.0	755
Cluster 47348	8.0	756
Cluster 47406	8.0	757
Cluster 48384	8.0	758
Cluster 49566	8.0	759
Cluster 50023	8.0	760
Cluster 50446	8.0	761
Cluster 52476	8.0	762
Cluster 52606	8.0	763
Cluster 53325	8.0	764
Cluster 59683	8.0	765
Cluster 65391	8.0	766
Cluster 69680	8.0	767
Cluster 70264	8.0	768
Cluster 72083	8.0	769
Cluster 72921	8.0	770
Cluster 76162	8.0	771
Cluster 78427	8.0	772
Cluster 79965	8.0	773
Cluster 80168	8.0	774
Cluster 80194	8.0	775
Cluster 80735	8.0	776
Cluster 81336	8.0	777
Cluster 81922	8.0	778
Cluster 86938	8.0	779
Cluster 90369	8.0	780
Cluster 90808	8.0	781
Cluster 92517	8.0	782
Cluster 93139	8.0	783
Cluster 923	7.0	784
Cluster 1190	7.0	785
Cluster 3473	7.0	786
Cluster 4104	7.0	787
Cluster 4338	7.0	788
Cluster 7054	7.0	789
Cluster 7761	7.0	790
Cluster 8709	7.0	791
Cluster 8765	7.0	792
Cluster 11520	7.0	793
Cluster 12521	7.0	794
Cluster 14526	7.0	795
Cluster 18919	7.0	796
Cluster 22095	7.0	797
Cluster 23233	7.0	798
Cluster 23281	7.0	799
Cluster 24559	7.0	800
Cluster 26706	7.0	801
Cluster 27022	7.0	802
Cluster 27779	7.0	803
Cluster 28095	7.0	804
Cluster 28709	7.0	805
Cluster 29433	7.0	806
Cluster 30262	7.0	807
Cluster 31534	7.0	808
Cluster 31660	7.0	809
Cluster 38223	7.0	810
Cluster 45478	7.0	811
Cluster 45822	7.0	812
Cluster 49151	7.0	813
Cluster 49559	7.0	814
Cluster 51597	7.0	815
Cluster 52031	7.0	816
Cluster 53674	7.0	817
Cluster 53753	7.0	818
Cluster 55678	7.0	819
Cluster 56593	7.0	820
Cluster 57275	7.0	821
Cluster 57298	7.0	822
Cluster 62859	7.0	823
Cluster 66780	7.0	824
Cluster 66855	7.0	825
Cluster 67522	7.0	826
Cluster 68963	7.0	827
Cluster 73014	7.0	828
Cluster 75778	7.0	829
Cluster 76223	7.0	830
Cluster 79353	7.0	831
Cluster 80530	7.0	832
Cluster 86451	7.0	833
Cluster 87884	7.0	834
Cluster 90312	7.0	835
Cluster 91225	7.0	836
Cluster 91302	7.0	837
Cluster 91557	7.0	838
Cluster 91921	7.0	839
Cluster 93392	7.0	840
Cluster 1323	6.0	841
Cluster 3307	6.0	842
Cluster 4031	6.0	843
Cluster 4487	6.0	844
Cluster 4614	6.0	845
Cluster 6063	6.0	846
Cluster 6184	6.0	847
Cluster 12977	6.0	848
Cluster 13624	6.0	849
Cluster 15128	6.0	850
Cluster 16289	6.0	851
Cluster 18375	6.0	852
Cluster 19253	6.0	853
Cluster 19548	6.0	854
Cluster 19756	6.0	855
Cluster 20436	6.0	856
Cluster 20511	6.0	857
Cluster 22079	6.0	858
Cluster 27240	6.0	859
Cluster 27453	6.0	860
Cluster 30399	6.0	861
Cluster 30787	6.0	862
Cluster 37765	6.0	863
Cluster 37899	6.0	864
Cluster 39001	6.0	865
Cluster 40378	6.0	866
Cluster 41880	6.0	867
Cluster 43150	6.0	868
Cluster 43721	6.0	869
Cluster 45004	6.0	870
Cluster 45641	6.0	871
Cluster 46894	6.0	872
Cluster 47042	6.0	873
Cluster 47445	6.0	874
Cluster 48134	6.0	875
Cluster 49278	6.0	876
Cluster 50895	6.0	877
Cluster 53112	6.0	878
Cluster 53135	6.0	879
Cluster 53380	6.0	880
Cluster 53725	6.0	881
Cluster 54168	6.0	882
Cluster 55476	6.0	883
Cluster 55485	6.0	884
Cluster 55581	6.0	885
Cluster 56379	6.0	886
Cluster 57317	6.0	887
Cluster 59081	6.0	888
Cluster 60760	6.0	889
Cluster 62430	6.0	890
Cluster 63130	6.0	891
Cluster 63344	6.0	892
Cluster 63733	6.0	893
Cluster 69720	6.0	894
Cluster 70684	6.0	895
Cluster 72417	6.0	896
Cluster 73571	6.0	897
Cluster 77248	6.0	898
Cluster 79120	6.0	899
Cluster 79258	6.0	900
Cluster 83312	6.0	901
Cluster 85484	6.0	902
Cluster 86951	6.0	903
Cluster 89586	6.0	904
Cluster 90010	6.0	905
Cluster 90239	6.0	906
Cluster 91764	6.0	907
Cluster 404	5.0	908
Cluster 667	5.0	909
Cluster 1224	5.0	910
Cluster 9180	5.0	911
Cluster 10280	5.0	912
Cluster 10866	5.0	913
Cluster 11234	5.0	914
Cluster 12429	5.0	915
Cluster 14689	5.0	916
Cluster 16656	5.0	917
Cluster 17126	5.0	918
Cluster 20114	5.0	919
Cluster 20679	5.0	920
Cluster 20996	5.0	921
Cluster 21021	5.0	922
Cluster 21339	5.0	923
Cluster 21762	5.0	924
Cluster 22771	5.0	925
Cluster 24457	5.0	926
Cluster 24862	5.0	927
Cluster 24941	5.0	928
Cluster 25083	5.0	929
Cluster 27892	5.0	930
Cluster 28424	5.0	931
Cluster 29070	5.0	932
Cluster 29187	5.0	933
Cluster 34914	5.0	934
Cluster 35159	5.0	935
Cluster 36497	5.0	936
Cluster 36502	5.0	937
Cluster 36776	5.0	938
Cluster 38006	5.0	939
Cluster 39688	5.0	940
Cluster 39695	5.0	941
Cluster 41903	5.0	942
Cluster 43134	5.0	943
Cluster 43261	5.0	944
Cluster 43648	5.0	945
Cluster 45230	5.0	946
Cluster 45607	5.0	947
Cluster 46998	5.0	948
Cluster 49402	5.0	949
Cluster 51508	5.0	950
Cluster 51883	5.0	951
Cluster 52230	5.0	952
Cluster 53070	5.0	953
Cluster 56195	5.0	954
Cluster 59491	5.0	955
Cluster 61486	5.0	956
Cluster 63128	5.0	957
Cluster 63340	5.0	958
Cluster 63707	5.0	959
Cluster 65965	5.0	960
Cluster 66090	5.0	961
Cluster 66188	5.0	962
Cluster 66817	5.0	963
Cluster 67030	5.0	964
Cluster 67318	5.0	965
Cluster 67696	5.0	966
Cluster 68455	5.0	967
Cluster 68839	5.0	968
Cluster 69162	5.0	969
Cluster 69310	5.0	970
Cluster 70696	5.0	971
Cluster 70780	5.0	972
Cluster 72106	5.0	973
Cluster 72418	5.0	974
Cluster 73346	5.0	975
Cluster 73974	5.0	976
Cluster 74010	5.0	977
Cluster 74479	5.0	978
Cluster 75726	5.0	979
Cluster 79192	5.0	980
Cluster 87546	5.0	981
Cluster 89857	5.0	982
Cluster 91420	5.0	983
Cluster 92426	5.0	984
Cluster 847	4.0	985
Cluster 852	4.0	986
Cluster 1572	4.0	987
Cluster 2494	4.0	988
Cluster 2495	4.0	989
Cluster 2825	4.0	990
Cluster 3037	4.0	991
Cluster 3924	4.0	992
Cluster 4404	4.0	993
Cluster 5322	4.0	994
Cluster 6608	4.0	995
Cluster 6892	4.0	996
Cluster 7100	4.0	997
Cluster 7647	4.0	998
