CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 49833	5.041107929358253	82
Cluster 10901	4.989660720303042	83
Cluster 18269	4.945792467012002	84
Cluster 57233	4.864048758710063	85
Cluster 20848	4.833696648595009	86
Cluster 25320	4.716920257552041	87
Cluster 90499	4.613322282046139	88
Cluster 67518	4.607787645000709	89
Cluster 21278	4.573811662615824	90
Cluster 4517	4.51910395541946	91
Cluster 59946	4.496326174525401	92
Cluster 45890	4.4771695020170705	93
Cluster 5366	4.467971455450092	94
Cluster 2585	4.434378238105413	95
Cluster 90410	4.4152801081765585	96
Cluster 11392	4.269243745201046	97
Cluster 1185	4.218887459703733	98
Cluster 44132	4.204249194157966	99
Cluster 7298	4.16416217957185	100
Cluster 43441	4.154124093055563	101
Cluster 3785	4.061590991851713	102
Cluster 63419	4.03388253524223	103
Cluster 69060	3.982236987750941	104
Cluster 45377	3.890872085931583	105
Cluster 469	3.8178437595779013	106
Cluster 42129	3.7866613315522324	107
Cluster 90836	3.778587123037751	108
Cluster 7576	3.7725757826055872	109
Cluster 58023	3.772238814437324	110
Cluster 91401	3.744444292660042	111
Cluster 51599	3.739364957750294	112
Cluster 13261	3.698342399700828	113
Cluster 36758	3.6902719653330216	114
Cluster 70696	3.649340975858151	115
Cluster 78427	3.6102290038180658	116
Cluster 33846	3.5312088828300463	117
Cluster 25281	3.443746308216758	118
Cluster 76348	3.437996546384228	119
Cluster 45521	3.4325481696504574	120
Cluster 54702	3.3864316782399038	121
Cluster 30403	3.348848326804314	122
Cluster 77818	3.3161445200096797	123
Cluster 45004	3.293855114344775	124
Cluster 90239	3.293855114344775	125
Cluster 31597	3.265770027729787	126
Cluster 46389	3.2543230456637615	127
Cluster 15722	3.2365808083642693	128
Cluster 55494	3.187016884987347	129
Cluster 69502	3.156032261339569	130
Cluster 65395	3.149771932152845	131
Cluster 2519	3.1282974800891172	132
Cluster 61781	3.1232045547822618	133
Cluster 54853	3.101229188457657	134
Cluster 67214	3.0467580127374516	135
Cluster 57448	3.036350538652019	136
Cluster 48461	3.013509171266303	137
Cluster 91879	3.005999434843316	138
Cluster 78153	2.996560024267355	139
Cluster 80948	2.9782929198888746	140
Cluster 1767	2.965379947404148	141
Cluster 72957	2.915584519445274	142
Cluster 8902	2.913399890158103	143
Cluster 16034	2.912197162776771	144
Cluster 6734	2.911549462801138	145
Cluster 61953	2.9070504907904167	146
Cluster 18230	2.8657843303725556	147
Cluster 80706	2.8539891766409964	148
Cluster 31054	2.8529881970731434	149
Cluster 46935	2.813842929892643	150
Cluster 17458	2.80112780502429	151
Cluster 75645	2.7808755921981394	152
Cluster 4421	2.764200405402421	153
Cluster 49998	2.7565517044833285	154
Cluster 35839	2.7533210769767438	155
Cluster 35840	2.7533210769767438	156
Cluster 291	2.750424901331613	157
Cluster 2070	2.750424901331613	158
Cluster 3053	2.750424901331613	159
Cluster 4999	2.750424901331613	160
Cluster 7626	2.750424901331613	161
Cluster 10765	2.750424901331613	162
Cluster 11019	2.750424901331613	163
Cluster 12148	2.750424901331613	164
Cluster 12346	2.750424901331613	165
Cluster 12748	2.750424901331613	166
Cluster 13038	2.750424901331613	167
Cluster 14333	2.750424901331613	168
Cluster 14429	2.750424901331613	169
Cluster 14885	2.750424901331613	170
Cluster 15084	2.750424901331613	171
Cluster 15724	2.750424901331613	172
Cluster 18341	2.750424901331613	173
Cluster 19476	2.750424901331613	174
Cluster 21665	2.750424901331613	175
