"XRCC5"	"UTP18"	+
"ME2"	"UTP18"	+
"BCL3"	"TTC19"	-
"FRYL"	"TMEM159"	-
"CDC14A"	"TMEM159"	-
"ULK2"	"TMEM159"	-
"VRK2"	"ZMYND11"	+
"METTL1"	"ZMYND11"	-
"EPHA3"	"ZMYND11"	+
"MTMR1"	"ZMYND11"	+
"ADAT1"	"ZMYND11"	+
"CYB5R4"	"ZMYND11"	+
"COASY"	"ZMYND11"	-
"IP6K2"	"ZMYND11"	-
"BCL3"	"ZMYND11"	-
"ASIC4"	"ZMYND11"	-
"CLASP1"	"ZMYND11"	+
"CDC14A"	"ZMYND11"	+
"ZNF446"	"ZMYND11"	-
"MYNN"	"ZMYND11"	+
"NSFL1C"	"ZMYND11"	-
"HYAL2"	"DPEP1"	+
"CLASP1"	"DPEP1"	-
"ITGB5"	"DPEP1"	+
"MYNN"	"DPEP1"	-
"ARID4A"	"CYP3A43"	+
"METTL1"	"CYP3A43"	-
"SCML1"	"CYP3A43"	+
"MRPS10"	"CYP3A43"	-
"MRTO4"	"CYP3A43"	-
"CLDN18"	"CYP3A43"	+
"MCM2"	"CYP3A43"	-
"GSDMB"	"CYP3A43"	+
"ENO1"	"CYP3A43"	-
"XRCC5"	"CYP3A43"	-
"CDC14A"	"CYP3A43"	+
"ARNTL2"	"VRK2"	+
"ARID4A"	"VRK2"	+
"PNPLA6"	"VRK2"	-
"MSR1"	"VRK2"	+
"MRPS10"	"VRK2"	+
"ZC3H11A"	"VRK2"	+
"ZNF112"	"VRK2"	+
"MTMR1"	"VRK2"	+
"ADAT1"	"VRK2"	+
"CYB5R4"	"VRK2"	+
"COL17A1"	"VRK2"	-
"PHKA1"	"VRK2"	+
"DNTTIP2"	"VRK2"	+
"HYAL2"	"VRK2"	-
"COASY"	"VRK2"	-
"IP6K2"	"VRK2"	-
"NUCKS1"	"VRK2"	+
"DGCR2"	"VRK2"	-
"ADGRL1"	"VRK2"	-
"MPP5"	"VRK2"	+
"HMMR"	"VRK2"	+
"CLASP1"	"VRK2"	+
"FRYL"	"VRK2"	+
"TMEM131"	"VRK2"	+
"POLD3"	"VRK2"	+
"XRCC5"	"VRK2"	+
"ME2"	"VRK2"	+
"ITGB5"	"VRK2"	-
"ZNF446"	"VRK2"	-
"WBP11"	"VRK2"	+
"MYNN"	"VRK2"	+
"CPNE3"	"VRK2"	+
"PPP1R15A"	"VRK2"	-
"ASIC4"	"SNX1"	-
"FRYL"	"SNX1"	+
"NSFL1C"	"SNX1"	-
"DNTTIP2"	"ARNTL2"	+
"DGCR2"	"ARNTL2"	-
"PNPLA6"	"ARID4A"	-
"CUL7"	"ARID4A"	-
"ZC3H11A"	"ARID4A"	+
