"VAMP3"	"IDS"	+
"MRTO4"	"IDS"	-
"PRDM1"	"IDS"	+
"TMCC3"	"IDS"	+
"CLDN18"	"IDS"	+
"COASY"	"IDS"	-
"MAST4"	"IDS"	+
"MPP5"	"IDS"	+
"MCM2"	"IDS"	-
"MGLL"	"IDS"	+
"ENO1"	"IDS"	-
"FOSL2"	"IDS"	+
"FRYL"	"IDS"	+
"NEBL"	"IDS"	+
"CDC14A"	"IDS"	+
"C1QTNF3"	"IDS"	+
"FAT1"	"IDS"	+
"CAD"	"IDS"	-
"UTP18"	"CLCN6"	-
"SNX1"	"CLCN6"	+
"ARID4A"	"CLCN6"	+
"METTL1"	"CLCN6"	-
"C6"	"CLCN6"	+
"EPHA3"	"CLCN6"	+
"CTPS2"	"CLCN6"	-
"SCML1"	"CLCN6"	+
"MRPS10"	"CLCN6"	-
"VAMP3"	"CLCN6"	+
"FOXP3"	"CLCN6"	-
"MSMO1"	"CLCN6"	-
"MRTO4"	"CLCN6"	-
"GYG2"	"CLCN6"	+
"TMCC3"	"CLCN6"	+
"SPAG4"	"CLCN6"	-
"COL17A1"	"CLCN6"	+
"CLDN18"	"CLCN6"	+
"PHKA1"	"CLCN6"	-
"RRP15"	"CLCN6"	-
"MAST4"	"CLCN6"	+
"BCL3"	"CLCN6"	-
"ST6GALNAC1"	"CLCN6"	+
"HMMR"	"CLCN6"	-
"PVR"	"CLCN6"	-
"MCM2"	"CLCN6"	-
"MGLL"	"CLCN6"	+
"ENO1"	"CLCN6"	-
"FOSL2"	"CLCN6"	+
"PLD1"	"CLCN6"	+
"MCAM"	"CLCN6"	+
"CDC14A"	"CLCN6"	+
"HSP90AA1"	"CLCN6"	-
"FAT1"	"CLCN6"	+
"WBP11"	"CLCN6"	-
"PPP1R15A"	"CLCN6"	+
"CETP"	"CLCN6"	+
"SNX1"	"UTP18"	-
"METTL1"	"UTP18"	+
"C6"	"UTP18"	-
"GPM6B"	"UTP18"	-
"SCML1"	"UTP18"	-
"MRPS10"	"UTP18"	+
"MSMO1"	"UTP18"	+
"MRTO4"	"UTP18"	+
"GYG2"	"UTP18"	-
"COL17A1"	"UTP18"	-
"CLDN18"	"UTP18"	-
"PHKA1"	"UTP18"	+
"RRP15"	"UTP18"	+
"ST6GALNAC1"	"UTP18"	-
"HMMR"	"UTP18"	+
"MCM2"	"UTP18"	+
"MGLL"	"UTP18"	-
"FOSL2"	"UTP18"	-
"MCAM"	"UTP18"	-
"HSP90AA1"	"UTP18"	+
"WBP11"	"UTP18"	+
"CPNE3"	"UTP18"	+
"PPP1R15A"	"UTP18"	-
"ZMYND11"	"TTC19"	+
"FOXP3"	"TTC19"	-
"PRDM1"	"TTC19"	-
"PHKA1"	"TTC19"	+
"MPP5"	"TTC19"	+
"CST7"	"TTC19"	-
"NEBL"	"TTC19"	+
"ULK2"	"TTC19"	+
"CPNE3"	"TTC19"	+
"PPP1R15A"	"TTC19"	-
"CETP"	"TTC19"	-
"HSD17B2"	"TMEM159"	+
"DPEP1"	"ZMYND11"	-
"ARID4A"	"ZMYND11"	+
"PNPLA6"	"ZMYND11"	-
"FOXP3"	"ZMYND11"	-
"MRTO4"	"ZMYND11"	-
"ZC3H11A"	"ZMYND11"	+
"SPAG4"	"ZMYND11"	-
"ZNF112"	"ZMYND11"	+
"PHKA1"	"ZMYND11"	+
"RRP15"	"ZMYND11"	+
"HYAL2"	"ZMYND11"	-
"NUCKS1"	"ZMYND11"	+
"MPP5"	"ZMYND11"	+
"SNCB"	"ZMYND11"	-
"ENO1"	"ZMYND11"	-
"FRYL"	"ZMYND11"	+
"TMEM131"	"ZMYND11"	+
"TM9SF3"	"ZMYND11"	+
"CST7"	"ZMYND11"	-
"NEBL"	"ZMYND11"	+
"XRCC5"	"ZMYND11"	+
"ULK2"	"ZMYND11"	+
"CPNE3"	"ZMYND11"	+
"PPP1R15A"	"ZMYND11"	-
"CETP"	"ZMYND11"	-
"PNPLA6"	"DPEP1"	+
"USP2"	"DPEP1"	-
"MSR1"	"DPEP1"	+
"GPM6B"	"DPEP1"	-
"FOXP3"	"DPEP1"	+
"PRDM1"	"DPEP1"	+
"SPAG4"	"DPEP1"	+
"ZNF112"	"DPEP1"	-
"PHKA1"	"DPEP1"	-
"NUCKS1"	"DPEP1"	-
"BCL3"	"DPEP1"	+
"IPCEF1"	"DPEP1"	+
"CST7"	"DPEP1"	+
"ULK2"	"DPEP1"	-
"ZNF446"	"DPEP1"	+
"ARNTL2"	"SNX1"	-
"ARID4A"	"SNX1"	+
"PNPLA6"	"SNX1"	-
"METTL1"	"SNX1"	-
