#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
83	29	-8.0	-0.564582120021545
83	31	-1.0	-0.450148920208288
83	34	-1.0	-0.48755007509912
83	36	-4.0	-0.560517873254388
83	41	-1.0	-0.486748756519105
83	42	-1.0	-0.484049720221314
71	9	-8.0	-0.561737728670586
71	11	-26.0	-0.544615520275931
71	17	-8.0	-0.504543395750185
71	18	-1.0	-0.513014442550357
71	20	-1.0	-0.487274161024929
71	25	-4.0	-0.506140762570345
71	27	-1.0	-0.548407175773102
71	28	-1.0	-0.505084433577109
71	29	-47.0	-0.596434426690646
71	31	-2.0	-0.449118822419654
71	34	-7.0	-0.551742208034601
71	35	-1.0	-0.513966265370456
71	36	-18.0	-0.589552320844305
71	41	-1.0	-0.518138351692468
71	42	-4.0	-0.544612283593705
8	47	-1.0	-0.481316779606083
8	51	-1.0	-0.554655141100684
8	52	-1.0	-0.506256921713119
8	54	-1.0	-0.538149149744027
8	58	-1.0	-0.517676940818624
8	64	-1.0	-0.489594638184342
8	65	-1.0	-0.575771940463506
47	9	-22.0	-0.527963921073921
47	14	-151.0	-0.550977834008975
47	17	-44.0	-0.474716568465062
47	19	-6.0	-0.565199823602687
47	28	-39.0	-0.562110138831866
47	34	-35.0	-0.533876337609183
47	36	-88.0	-0.59185931519923
47	41	-5.0	-0.539585415143046
47	42	-28.0	-0.54796197678363
47	43	-3.0	-0.561270798167786
48	9	-7.0	-0.547371974442244
48	14	-22.0	-0.593034639829312
48	17	-13.0	-0.573618338668113
48	18	-1.0	-0.539193958366299
48	20	-2.0	-0.5571943209727
48	24	-1.0	-0.543891856162204
48	25	-4.0	-0.525363190222291
48	28	-8.0	-0.584943631501104
48	31	-4.0	-0.549984051070532
48	32	-2.0	-0.566560418305166
48	33	-3.0	-0.539513035875858
48	34	-11.0	-0.582239478741777
48	35	-1.0	-0.550261469070673
48	41	-1.0	-0.554089849571272
48	43	-1.0	-0.537220973504564
72	11	-5.0	-0.59086229508595
49	9	-5.0	-0.558293233324963
49	11	-14.0	-0.552520286524585
49	15	-3.0	-0.548528612328862
49	17	-6.0	-0.539350392960426
49	18	-3.0	-0.578217866729261
49	19	-1.0	-0.528311140258037
49	25	-5.0	-0.555486505687513
49	28	-3.0	-0.545365823812202
49	31	-6.0	-0.574140110245655
49	33	-1.0	-0.516817129462426
49	34	-9.0	-0.571744183590297
49	35	-3.0	-0.555603939596561
49	36	-14.0	-0.566942779278878
49	41	-1.0	-0.534747409996888
49	42	-1.0	-0.510946278078771
49	43	-2.0	-0.511044074990346
84	9	-6.0	-0.577936262577882
84	17	-6.0	-0.571736993532365
84	20	-1.0	-0.518697019640382
84	25	-3.0	-0.566114148330194
84	28	-1.0	-0.52668578560905
84	31	-1.0	-0.489952891776827
84	34	-5.0	-0.580997929781544
84	41	-1.0	-0.553326691682149
84	42	-4.0	-0.571936012708078
50	9	-12.0	-0.451534362118438
50	11	-61.0	-0.503202154171596
50	14	-84.0	-0.505607792828429
50	15	-4.0	-0.474597014861896
50	17	-19.0	-0.440953153602614
50	18	-3.0	-0.557471758168929
50	19	-1.0	-0.452095877458103
50	25	-10.0	-0.497378781888408
50	28	-7.0	-0.416378122354579
50	29	-87.0	-0.562873396755778
50	31	-11.0	-0.447975302186501
50	33	-1.0	-0.480884858238389
50	34	-15.0	-0.471054660558907
50	35	-4.0	-0.492626463471856
50	36	-49.0	-0.540544624599492
50	41	-3.0	-0.466345119408064
50	42	-4.0	-0.427635034631655
50	43	-3.0	-0.462204810060973
51	10	-1.0	-0.578276442381135
51	17	-42.0	-0.579452382678121
51	19	-5.0	-0.556047673836511
51	32	-1.0	-0.554041609662402
51	33	-7.0	-0.590264891937661
51	37	-1.0	-0.590101829715025
51	41	-6.0	-0.562954877612917
51	42	-26.0	-0.571904792077949
51	43	-3.0	-0.567769335001969
85	11	-2.0	-0.454797479514093
85	14	-2.0	-0.525736151866918
85	15	-2.0	-0.476942041699602
85	17	-1.0	-0.480830100344575
85	25	-1.0	-0.403273628411554
85	28	-2.0	-0.505940396529119
85	29	-3.0	-0.480012642101645
85	31	-1.0	-0.435168381943011
85	34	-1.0	-0.466010872581396
85	36	-2.0	-0.510084213176403
85	42	-1.0	-0.510196687733217
9	95	-2.0	-0.493373775153092
9	52	-22.0	-0.52907925484976
9	73	-7.0	-0.523854456743438
9	53	-4.0	-0.470102828575789
9	54	-32.0	-0.542176631633801
9	56	-6.0	-0.51343797099825
9	57	-22.0	-0.551162824432338
9	86	-6.0	-0.563983879898325
9	59	-10.0	-0.485919748591174
9	107	-1.0	-0.517774850960014
9	62	-26.0	-0.595627450372421
9	97	-1.0	-0.40691221372046
9	99	-2.0	-0.446608398041587
9	63	-12.0	-0.514788995504044
9	75	-5.0	-0.529369983312026
9	88	-5.0	-0.533236582636706
9	65	-37.0	-0.594298285479425
9	76	-7.0	-0.564286796367849
9	89	-2.0	-0.564579636822361
9	100	-1.0	-0.595424433510496
9	78	-2.0	-0.586034966601775
9	67	-15.0	-0.511304223986902
9	90	-6.0	-0.454385717952251
9	68	-14.0	-0.467735346897456
