nearestTranscript	Occurance
uc003exd.2	2
uc001xlk.3	2
uc011bea.2	2
uc001hwm.1	2
uc001bux.3	2
uc010xsi.2	2
uc009yax.1	2
uc002tap.1	2
uc009yaj.2	2
uc002cwc.1	2
uc001aqf.3	2
uc010ock.3	2
uc010xft.2	2
uc001onm.1	2
uc001dnn.3	2
uc003mfx.4	2
uc001jwm.2	2
uc002rya.3	2
uc002zav.3	2
uc001sqm.3	2
uc001ojd.3	2
uc001khu.2	2
uc001bvv.2	2
uc001uia.2	2
uc010dex.1	2
uc001nen.4	2
uc001zcr.3	2
uc002dfa.3	2
uc021twu.1	2
uc010rbe.3	2
uc003pvy.4	2
uc002bsq.2	2
uc010btd.2	2
uc002jln.1	2
uc001voe.4	2
uc003equ.3	2
uc002mob.2	2
uc001txb.3	2
uc002jzh.2	2
uc001vdn.1	2
uc001aec.1	2
uc010vzd.2	2
uc010ukh.2	2
uc004brh.3	2
uc001fxy.2	2
uc010tcy.1	2
uc001uew.3	2
uc001hey.3	2
uc002eli.3	2
uc001gwu.3	2
uc002bcq.1	2
uc001luj.3	2
uc002iat.2	2
uc002fjr.3	2
uc001hhm.2	2
uc002jlo.4	2
uc009vln.1	2
uc001ojr.3	2
uc021vwn.1	2
uc002dqd.1	2
uc001gcf.3	2
uc009vrx.3	2
uc003stg.3	2
uc002iub.3	2
uc010czt.3	2
uc031ptk.1	2
uc001eyl.3	2
uc002cmy.3	2
uc003nuk.3	2
uc001iks.1	2
uc003fci.3	2
uc002mdt.3	2
uc002sdr.4	2
uc001fyt.4	2
uc001tsm.1	2
uc010alr.3	2
uc002ldb.3	2
uc021uao.1	2
uc002fww.3	2
uc011jzl.2	2
uc021ylt.1	2
uc009yrg.2	2
uc001fuq.2	2
uc010bco.3	2
uc003kcy.1	2
uc002fix.4	2
uc003qvu.3	2
uc002huw.3	2
uc010civ.1	2
uc002nbf.4	2
uc011lrs.2	2
uc002fck.3	2
uc002qwy.1	2
uc001mvl.2	2
uc001bny.1	2
uc002vxg.3	2
uc003uew.3	2
uc001nci.2	2
uc003bua.3	2
uc001rnm.3	2
uc031sch.1	2
uc001qjw.3	2
uc002gju.3	2
uc003asz.4	2
uc001gzs.3	2
uc009ydq.3	2
uc001zkv.4	2
uc001oph.3	2
uc002lxp.3	2
uc010agp.2	2
uc010vdj.2	2
uc002lrk.4	2
uc003cpc.1	2
uc002ano.2	2
uc002vgk.3	2
uc002tto.3	2
uc001lpc.3	2
uc001zhi.3	2
uc003fay.1	2
uc001pxv.3	2
uc002esl.3	2
uc001gfi.4	2
uc003kql.4	2
uc003let.2	2
uc003lre.1	2
uc002nmr.3	2
uc002amc.3	2
uc010jse.3	2
uc002iom.3	2
uc001czv.3	2
uc002yau.3	2
uc002xvo.3	2
uc002hvo.1	2
uc002clc.2	2
uc001hvg.3	2
uc001fnc.3	2
uc001alf.3	2
uc002uvy.1	2
uc010qfc.2	2
uc002mbr.4	2
uc002sde.2	2
uc002suh.2	2
uc003vev.2	2
uc001yos.4	2
uc001hii.3	2
uc001wzb.4	2
uc010wuu.3	2
uc011bys.1	2
uc003ing.2	2
uc001qqu.3	2
uc001cfh.1	2
uc021rgo.1	2
uc003oxt.3	2
uc021xno.1	2
uc001lcs.1	2
uc003ogj.2	2
uc002mgd.1	2
uc003dyk.5	2
uc003guo.3	2
uc022bbk.1	2
uc002kfx.1	2
uc001zoz.3	2
uc003jpz.4	2
uc010pkw.1	2
uc003irw.3	2
uc009zwk.1	2
uc003dmx.3	2
uc022ayh.1	2
uc009zpy.4	2
uc003gqs.3	2
uc021vzh.2	2
uc003igj.3	2
uc001vtr.1	2
uc003orw.2	2
uc002vyi.2	2
uc002oot.3	2
uc021xwd.1	2
uc002sfj.3	2
uc001sqo.3	2
uc001cgq.3	2
uc003jvg.3	2
uc001kst.1	2
uc002gpd.1	2
uc003uyi.3	2
uc001ivj.2	2
uc001stz.2	2
uc002vyc.3	2
uc002ldc.3	2
uc021xgf.1	2
uc001bvt.2	2
uc010gcv.2	2
uc003qqv.1	2
uc009zfm.2	2
uc009wwy.1	2
uc001dbp.1	2
uc001oov.3	2
uc001prs.2	2
uc001zfo.3	2
uc002asq.3	2
uc003skv.4	2
uc010kub.3	2
uc021rmb.1	2
uc011jym.1	2
uc001jpo.1	2
uc002ijw.4	2
uc003ggs.3	2
uc010dsn.3	2
uc010ldj.2	2
uc002wny.3	2
uc002tbj.1	2
uc011byn.2	2
uc001zkg.2	2
uc002ybs.3	2
uc010jkt.2	2
uc001cix.3	2
uc002rdv.3	2
uc001lll.4	2
uc004cmw.3	2
uc009zgh.2	2
uc001zfd.3	2
uc001ifr.3	2
uc001ubq.3	2
uc010wuo.2	2
uc003mvn.3	2
uc002moa.3	2
uc002vws.3	2
uc010gxz.1	2
uc002osu.2	2
uc001pxx.3	2
uc001obu.1	2
uc003tpo.4	2
uc003sna.1	2
uc003buk.2	2
uc001lrt.3	2
uc010jxn.3	2
uc001hqw.2	2
uc003vin.3	2
uc002zhi.3	2
uc002ivc.3	2
uc011kbh.2	2
uc003exb.1	2
uc002obc.3	2
uc002rqq.3	2
uc010iuo.3	2
uc010jdt.2	2
uc010psi.2	2
uc001sxu.3	2
uc001bsc.2	2
uc003klg.3	2
uc001mmj.3	2
uc021qkz.1	2
uc003ejv.4	2
uc003bnf.2	2
uc010khq.1	2
uc001xyp.3	2
uc003nsn.2	2
uc001hhx.4	2
uc003kzp.3	2
uc001poo.1	2
uc021vyb.1	2
uc009zcg.2	2
uc001jsx.1	2
uc001sgc.4	2
uc002gkv.3	2
uc001zvv.4	2
uc002asj.3	2
uc003gby.3	2
uc003biz.3	2
uc011bxr.2	2
uc011duq.1	2
uc003oca.3	2
uc031sam.1	2
uc003thx.4	2
uc001hym.3	2
uc003ihy.3	2
uc010ksn.3	2
uc001fgl.4	2
uc003ony.4	2
uc003ywj.3	2
uc002xzx.3	2
uc002ocq.1	2
uc010wmz.2	2
uc001tco.3	2
uc002yyv.1	2
uc001cyj.2	2
uc010rzv.1	2
uc003nkt.4	2
uc002hin.1	2
uc010eea.3	2
uc011cmd.2	2
uc001ljt.3	2
uc010sxg.2	2
uc003xif.1	2
uc002hyg.3	2
uc001ygv.2	2
uc002hgl.3	2
uc002ikv.3	2
uc010bim.1	2
uc009zkv.1	2
uc003jst.1	2
uc003yvn.3	2
uc003swn.3	2
uc021wrh.1	2
uc003ifb.4	2
uc010ebw.3	2
uc001vxw.4	2
uc009yni.3	2
uc002ndi.2	2
uc001fia.3	2
uc001yfh.3	2
uc002rly.3	2
uc002vfo.3	2
uc002vni.3	2
uc001dxm.2	2
uc001sur.3	2
uc002pha.2	2
uc002sad.1	2
uc002rsp.1	2
uc002vyk.4	2
uc009xpl.2	2
uc001znh.2	2
uc003frv.2	2
uc003hxu.3	2
uc001fdt.2	2
uc003grc.3	2
uc021paf.1	2
uc010fdq.3	2
uc003hox.4	2
uc001rvp.1	2
uc003ckm.2	2
uc001owz.3	2
uc002aga.4	2
uc001rnl.3	2
uc001hom.2	2
uc001rtv.4	2
uc001cgh.2	2
uc003utv.3	2
uc002jax.1	2
uc001pse.3	2
uc003pix.3	2
uc002pni.4	2
uc003hya.3	2
uc002lwp.1	2
uc010ysa.2	2
uc002sba.2	2
uc003gyt.3	2
uc021yfu.1	2
uc002uka.4	2
uc001xrh.3	2
uc021wxg.1	2
uc003ufa.3	2
uc001pgx.3	2
uc001gkn.3	2
uc009xti.3	2
uc003ugf.3	2
uc001oas.3	2
uc002lfr.3	2
uc003ipq.4	2
uc003qru.4	2
uc001dyj.3	2
uc011cnw.1	2
uc011dos.1	2
uc002xll.3	2
uc001hsy.3	2
uc001osd.2	2
uc003iwc.3	2
uc001lcr.3	2
uc010ygn.2	2
uc003wck.4	2
uc003cmm.4	2
uc003njf.1	2
uc011aai.1	2
uc002zud.3	2
uc003zys.1	2
uc002opi.3	2
uc031rdb.1	2
uc004eqj.2	2
uc002pnl.2	2
uc001zhk.1	1
uc001tdc.3	1
uc010lxl.4	1
uc002qza.3	1
uc002hid.1	1
uc002vmk.2	1
uc021veq.1	1
uc003btf.4	1
uc021tme.1	1
uc011axw.3	1
uc002amj.3	1
uc001yuf.3	1
uc010lee.1	1
uc001pxg.3	1
uc001jsp.3	1
uc003cmx.3	1
uc002dgv.3	1
uc021tiz.1	1
uc001iwt.4	1
uc002uaj.4	1
uc002fmm.2	1
uc003paq.3	1
uc003mfv.3	1
uc002efp.3	1
