subjectHits	Occurance
33959	1
40157	1
18700	1
6056	1
6634	1
41065	1
18366	1
15885	1
41154	1
1818	1
9548	1
21310	1
18759	1
31302	1
36652	1
23999	1
1372	1
37801	1
16850	1
22394	1
15794	1
26394	1
29382	1
39480	1
25229	1
30217	1
32160	1
3182	1
12810	1
10018	1
38254	1
4629	1
36385	1
21397	1
13611	1
21394	1
9700	1
2782	1
30983	1
10490	1
26773	1
18051	1
37910	1
26416	1
39722	1
10773	1
29421	1
11657	1
7378	1
37113	1
40360	1
35870	1
35689	1
33025	1
20862	1
9632	1
38338	1
16396	1
41358	1
9141	1
3485	1
31570	1
38798	1
41254	1
20123	1
15726	1
6548	1
2335	1
7161	1
3391	1
29744	1
25571	1
16369	1
4976	1
41920	1
27956	1
12655	1
6513	1
40512	1
40456	1
4160	1
41223	1
40141	1
14149	1
25572	1
12308	1
36323	1
14590	1
4449	1
9865	1
3024	1
21512	1
24057	1
7993	1
4011	1
8684	1
40873	1
1787	1
9081	1
3352	1
12721	1
38689	1
34824	1
6155	1
18450	1
20146	1
11868	1
4895	1
30236	1
16812	1
38121	1
20136	1
28077	1
2454	1
30506	1
948	1
22093	1
9912	1
11399	1
27039	1
9631	1
8340	1
18980	1
26738	1
19838	1
33776	1
32270	1
40563	1
11567	1
4549	1
5531	1
40392	1
28369	1
33726	1
24008	1
11532	1
19715	1
21194	1
33068	1
35385	1
35152	1
33341	1
4361	1
12174	1
25715	1
25913	1
13836	1
37533	1
27219	1
37125	1
29703	1
6781	1
32759	1
3290	1
12406	1
5877	1
26948	1
11173	1
6090	1
11463	1
16368	1
30753	1
20166	1
21631	1
32150	1
20220	1
36293	1
21510	1
28056	1
37676	1
2131	1
7235	1
12416	1
15462	1
30952	1
25007	1
27092	1
6871	1
3822	1
20531	1
37200	1
2740	1
10618	1
10469	1
2583	1
6811	1
36541	1
33065	1
3550	1
26371	1
30571	1
14375	1
28998	1
38802	1
16163	1
1278	1
1765	1
11496	1
29294	1
27685	1
19736	1
28336	1
7629	1
22002	1
12947	1
1514	1
16927	1
4804	1
38891	1
3164	1
1546	1
39393	1
35476	1
16037	1
1784	1
15638	1
1676	1
22882	1
15516	1
30249	1
3031	1
22340	1
18326	1
28784	1
10295	1
33198	1
7207	1
12160	1
2552	1
11745	1
8627	1
12723	1
9990	1
17081	1
14893	1
9096	1
13184	1
20239	1
18694	1
31445	1
3409	1
236	1
38132	1
10856	1
16469	1
36671	1
28842	1
4220	1
8407	1
30525	1
36754	1
36004	1
5284	1
32637	1
7995	1
35671	1
33205	1
26545	1
36163	1
11275	1
32475	1
19461	1
11527	1
31095	1
32367	1
755	1
12503	1
17699	1
32686	1
6650	1
3498	1
25581	1
19330	1
17156	1
24465	1
26048	1
26536	1
22815	1
23515	1
27849	1
17846	1
29870	1
37167	1
773	1
2309	1
6458	1
14017	1
30625	1
16156	1
3740	1
576	1
40230	1
32124	1
33202	1
16219	1
25165	1
640	1
15365	1
37115	1
10359	1
37275	1
23715	1
15579	1
1268	1
9368	1
12425	1
41333	1
725	1
986	1
38884	1
11614	1
16146	1
24816	1
10387	1
8456	1
25937	1
39301	1
18002	1
41225	1
433	1
29255	1
13912	1
3586	1
28385	1
4995	1
8515	1
31636	1
36423	1
7911	1
34060	1
13313	1
5277	1
27331	1
5001	1
23684	1
11631	1
30661	1
3479	1
38769	1
25445	1
15774	1
24373	1
19338	1
39766	1
20125	1
29277	1
19491	1
2806	1
37342	1
36225	1
13379	1
10687	1
20243	1
39583	1
28434	1
41005	1
37672	1
30134	1
27784	1
20597	1
22762	1
4564	1
40651	1
3480	1
5098	1
40488	1
9802	1
30374	1
28540	1
10086	1
4411	1
18592	1
39131	1
37353	1
29061	1
16468	1
36139	1
9780	1
15464	1
9234	1
11566	1
36309	1
24107	1
9909	1
18104	1
25000	1
33000	1
28362	1
28741	1
14479	1
18065	1
33598	1
34174	1
23241	1
14855	1
2778	1
14072	1
26078	1
18934	1
5130	1
1729	1
9782	1
41901	1
2572	1
35168	1
21546	1
12804	1
26981	1
1362	1
10043	1
32212	1
12732	1
21643	1
19464	1
25500	1
26772	1
35810	1
7539	1
12683	1
16603	1
35062	1
29078	1
40444	1
34799	1
20023	1
11484	1
36636	1
41682	1
27400	1
29104	1
9113	1
39612	1
32767	1
34585	1
3727	1
4303	1
31055	1
22362	1
10707	1
13567	1
38584	1
14830	1
9751	1
37478	1
8918	1
20060	1
36703	1
8897	1
22217	1
39298	1
33617	1
9996	1
39399	1
30566	1
41851	1
20655	1
5318	1
17244	1
24712	1
5896	1
3497	1
8737	1
19589	1
4357	1
39987	1
23697	1
18319	1
37105	1
9332	1
39323	1
41684	1
2745	1
6369	1
41764	1
12618	1
25459	1
16721	1
3079	1
14086	1
38524	1
6073	1
6818	1
11919	1
7452	1
16082	1
37104	1
31456	1
25077	1
15000	1
16842	1
29133	1
9724	1
29416	1
40631	1
29272	1
30231	1
38814	1
32391	1
28156	1
16753	1
11357	1
14211	1
18061	1
4628	1
7850	1
22347	1
6570	1
9305	1
34195	1
22548	1
15704	1
4009	1
41428	1
41484	1
37058	1
25752	1
11669	1
9701	1
6066	1
5821	1
37632	1
10563	1
11624	1
10741	1
32850	1
25506	1
31195	1
12483	1
19550	1
4885	1
12028	1
1459	1
24434	1
42084	1
41426	1
7615	1
21714	1
19431	1
30366	1
16000	1
20485	1
2341	1
1628	1
18067	1
16660	1
25437	1
20653	1
41301	1
31030	1
31288	1
415	1
4039	1
13094	1
23513	1
25983	1
8060	1
9670	1
13514	1
19110	1
14811	1
3717	1
14095	1
35569	1
8115	1
35755	1
35439	1
26828	1
35489	1
26892	1
30686	1
2743	1
40375	1
34757	1
35103	1
2601	1
19472	1
27109	1
17516	1
29589	1
4490	1
41433	1
26000	1
19748	1
20131	1
4261	1
38225	1
18821	1
7383	1
28495	1
13983	1
13076	1
33142	1
25593	1
38649	1
12615	1
28055	1
3143	1
35532	1
6962	1
11142	1
5967	1
22481	1
36210	1
26930	1
35425	1
33394	1
34303	1
26109	1
2148	1
30124	1
31481	1
38848	1
29476	1
1289	1
22360	1
5920	1
14399	1
12963	1
24030	1
41836	1
9313	1
32949	1
17592	1
22011	1
836	1
22295	1
1744	1
26943	1
4696	1
40218	1
36172	1
4124	1
18427	1
13647	1
5070	1
28981	1
30172	1
40527	1
13157	1
32152	1
24657	1
8947	1
24148	1
33954	1
41097	1
2263	1
15001	1
29054	1
6404	1
14532	1
32345	1
12081	1
21288	1
41953	1
4801	1
12749	1
6663	1
14672	1
3071	1
20744	1
17682	1
39456	1
28486	1
9625	1
9288	1
23287	1
17394	1
4454	1
4386	1
25147	1
13566	1
17486	1
20977	1
41998	1
10447	1
9070	1
33856	1
2108	1
40427	1
1674	1
33385	1
29338	1
40635	1
12094	1
35555	1
24127	1
28187	1
19702	1
7934	1
36973	1
22845	1
21296	1
9059	1
20976	1
12429	1
37385	1
36536	1
17062	1
37462	1
28720	1
42164	1
42035	1
29610	1
30382	1
644	1
5915	1
32764	1
2813	1
31756	1
39133	1
41316	1
28166	1
37029	1
6422	1
19650	1
7556	1
14505	1
34225	1
28112	1
28364	1
4479	1
24444	1
21146	1
2431	1
20366	1
38182	1
28712	1
4738	1
36284	1
36050	1
31898	1
39300	1
10967	1
19308	1
21677	1
24888	1
26945	1
17864	1
6281	1
42072	1
1728	1
18820	1
7287	1
15734	1
42187	1
6850	1
16596	1
5019	1
21297	1
22955	1
18140	1
40505	1
29465	1
37072	1
41347	1
14527	1
38974	1
18896	1
40339	1
29343	1
33051	1
9639	1
39013	1
36558	1
5268	1
39299	1
32197	1
3588	1
40121	1
10310	1
39650	1
31969	1
3987	1
12249	1
34687	1
34066	1
2565	1
17132	1
12208	1
7405	1
19939	1
13871	1
20783	1
19700	1
1002	1
3580	1
39109	1
20883	1
25486	1
3579	1
10427	1
42027	1
11814	1
4937	1
22372	1
31280	1
443	1
9103	1
10005	1
13576	1
31267	1
21795	1
19219	1
30500	1
41041	1
37836	1
37174	1
37148	1
7200	1
302	1
40863	1
29595	1
16681	1
8557	1
10747	1
24205	1
31080	1
8009	1
32407	1
40901	1
260	1
20202	1
7111	1
11322	1
27183	1
40983	1
39642	1
2716	1
9731	1
16261	1
32433	1
22021	1
40048	1
18889	1
11433	1
7301	1
24033	1
29528	1
26073	1
41794	1
34840	1
2777	1
35527	1
27011	1
15110	1
22316	1
34454	1
2505	1
30981	1
22663	1
14915	1
41425	1
9650	1
40609	1
8121	1
15282	1
4193	1
23853	1
20429	1
37755	1
27322	1
34866	1
24629	1
11836	1
34861	1
11161	1
29491	1
8765	1
38020	1
5862	1
12608	1
23649	1
