gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
AGTR1	800	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|ATR1|HAT1R	AGTR1
AGTR2	293	AT2|ATGR2|MRX88	AGTR2
APLNR	910	AGTRL1|APJ|APJR|HG11	APLNR
AGXT	209	AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6	AGXT
NR0B1	633	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	NR0B1
AHCY	161	SAHH|adoHcyase	AHCY
AHR	22613	RP85|bHLHe76	AHR
AHSG	849	A2HS|AHS|APMR1|FETUA|HSGA	AHSG
AIF1	2003	AIF-1|IBA1|IRT-1|IRT1	AIF1
CRYBG1	24	AIM1|ST4	CRYBG1
AK1	442	HTL-S-58j	AK1
AK2	253	ADK2	AK2
AK4	94	AK 4|AK3|AK3L1|AK3L2	AK4
AKT1	10841	AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	AKT1
AKT2	2097	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	AKT2
ALAD	1149	ALADH|PBGS	ALAD
ALAS1	195	ALAS|ALAS-H|ALAS3|ALASH|MIG4	ALAS1
ALAS2	378	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	ALAS2
ALB	8275	FDAHT|HSA|PRO0883|PRO0903|PRO1341	ALB
ALCAM	813	CD166|MEMD	ALCAM
ABCD1	661	ABC42|ALD|ALDP|AMN	ABCD1
ALDH1A1	1751	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	ALDH1A1
ALDH2	2552	ALDH-E2|ALDHI|ALDM	ALDH2
ALDH3A1	310	ALDH3|ALDHIII	ALDH3A1
ALDH1B1	102	ALDH5|ALDHX	ALDH1B1
ALDH1A3	384	ALDH1A6|ALDH6|MCOP8|RALDH3	ALDH1A3
ALDH3B1	38	ALDH4|ALDH7	ALDH3B1
ALDH3B2	24	ALDH8	ALDH3B2
ALDH9A1	33	ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH	ALDH9A1
ALDH3A2	127	ALDH10|FALDH|SLS	ALDH3A2
ABCD2	462	ABC39|ALDL1|ALDR|ALDRP|hALDR	ABCD2
ALDOA	261	ALDA|GSD12|HEL-S-87p	ALDOA
ALDOB	151	ALDB|ALDO2	ALDOB
ALDOC	110	ALDC	ALDOC
AKR1B1	390	ADR|ALDR1|ALR2|AR	AKR1B1
ALK	14342	ALK1|CD246|NBLST3	ALK
ALOX12	232	12-LOX|12S-LOX|LOG12	ALOX12
ALOX5	504	5-LO|5-LOX|5LPG|LOG5	ALOX5
ALOX5AP	516	FLAP	ALOX5AP
ALOX12B	112	12R-LOX|ARCI2	ALOX12B
ALOX15	454	12-LOX|15-LOX|15-LOX-1|LOG15	ALOX15
ALOX15B	134	15-LOX-2	ALOX15B
ALPI	473	IAP	ALPI
ALPL	1035	AP-TNAP|APTNAP|HOPS|HPPA|HPPC|HPPI|HPPO|TNALP|TNAP|TNS-ALP|TNSALP	ALPL
ALPP	511	ALP|ALPI|IAP|PALP|PLAP|PLAP-1	ALPP
ALPG	18	ALPPL|ALPPL2|GCAP	ALPG
ALX3	82	FND|FND1	ALX3
AMBN	291	AI1F	AMBN
AMBP	258	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	AMBP
AMD1	97	ADOMETDC|AMD|SAMDC	AMD1
AMELX	519	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	AMELX
AMELY	196	AMGL|AMGY	AMELY
AMFR	325	GP78|RNF45	AMFR
AMH	6425	MIF|MIS	AMH
AMHR2	311	AMHR|MISR2|MISRII|MRII	AMHR2
AMPD1	230	MAD|MADA|MMDD	AMPD1
AMPD2	74	PCH9|SPG63	AMPD2
AMPD3	68	-	AMPD3
AMPH	1519	AMPH1	AMPH
BIN1	615	AMPH2|AMPHL|CNM2|SH3P9	BIN1
AMT	4151	GCE|GCST|GCVT|NKH	AMT
AMY1A	73	AMY1	AMY1A
AMY1B	14	AMY1	AMY1B
AMY1C	12	AMY1	AMY1C
AMY2A	73	AMY2|PA	AMY2A
AMY2B	44	AMY2|AMY3|HXA	AMY2B
ANG	43020	ALS9|HEL168|RAA1|RNASE4|RNASE5	ANG
ANGPT1	1140	AGP1|AGPT|AGPT-1|ANG1|HAE5	ANGPT1
ANGPT2	765	AGPT2|ANG2|LMPHM10	ANGPT2
ANK1	330	ANK|SPH1|SPH2|ankyrin-1	ANK1
ANK2	251	ANK-2|CFAP87|FAP87|LQT4|brank-2	ANK2
ANK3	381	ANKYRIN-G|MRT37	ANK3
ANPEP	183	AP-M|AP-N|APN|CD13|GP150|LAP1|P150|PEPN|hAPN	ANPEP
SLC25A4	97	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	SLC25A4
SLC25A5	55	2F1|AAC2|ANT2|T2|T3	SLC25A5
