gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
SNRNP200	83	ASCC3L1|BRR2|HELIC2|RP33|U5-200KD	SNRNP200
PALLD	121	CGI-151|CGI151|MYN|PNCA1|SIH002	PALLD
TMCC1	28	-	TMCC1
PDZRN3	40	LNX3|SEMACAP3|SEMCAP3	PDZRN3
UNC13A	195	Munc13-1	UNC13A
MYO16	35	MYAP3|MYR8|Myo16b|NYAP3|PPP1R107	MYO16
KDM1A	1149	AOF2|BHC110|CPRF|KDM1|LSD1	KDM1A
RBM34	8	-	RBM34
KDM4B	208	JMJD2B|MRD65|TDRD14B	KDM4B
MAST3	35	DEE108	MAST3
USP33	71	VDU1	USP33
DOP1A	5	DOP1|DOPEY1|KIAA1117|dJ202D23.2	DOP1A
SAMD4A	38	SAMD4|SMAUG|SMAUG1|SMG|SMGA	SAMD4A
PHLPP2	178	PHLPPL|PPM3B	PHLPP2
ZNF292	37	MRD63|MRD64|Nbla00365|ZFP292|ZN-16|Zn-15|bA393I2.3	ZNF292
PDZD2	86	AIPC|PAPIN|PDZK3|PIN1	PDZD2
WDTC1	14	ADP|DCAF9	WDTC1
XPO7	22	EXP7|RANBP16	XPO7
MYT1L	149	MRD39|NZF1|ZC2H2C2|ZC2HC4B|myT1-L	MYT1L
MON2	122	-	MON2
PDXDC1	18	LP8165	PDXDC1
TNIK	133	MRT54	TNIK
KIF21B	52	-	KIF21B
PDS5B	80	APRIN|AS3|CG008	PDS5B
FNBP1	72	FBP17	FNBP1
SMG1	213	61E3.4|ATX|LIP	SMG1
ZHX3	23	TIX1	ZHX3
ENDOD1	15	-	ENDOD1
ZSWIM8	16	KIAA0913	ZSWIM8
NCOA6	165	AIB3|ASC2|NRC|PRIP|RAP250|TRBP	NCOA6
NMNAT2	136	C1orf15|PNAT2	NMNAT2
CLUAP1	21	CFAP22|FAP22|IFT38	CLUAP1
ZNF609	46	-	ZNF609
TBC1D9B	6	GRAMD9B	TBC1D9B
GGA2	128	VEAR	GGA2
WAPL	194	FOE|KIAA0261|WAPAL	WAPL
SETX	255	ALS4|AOA2|SCAN2|SCAR1|STEX|Sen1|bA479K20.2	SETX
EMC1	30	CAVIPMR|KIAA0090	EMC1
CAND2	40	TIP120B|Tp120b	CAND2
SETD1B	79	IDDSELD|KMT2G|Set1B	SETD1B
CMTR1	28	FTSJD2|KIAA0082|MTr1|hMTr1	CMTR1
ERP44	119	PDIA10|TXNDC4	ERP44
HECW1	25	NEDL1	HECW1
BLTP3B	0	SHIP164|SHIP164A|UHRF1BP1L	BLTP3B
SWAP70	107	HSPC321|SWAP-70	SWAP70
RRP1B	20	KIAA0179|NNP1L|Nnp1|PPP1R136|RRP1	RRP1B
MYCBP2	81	Myc-bp2|PAM|PHR1|Phr	MYCBP2
VWA8	18	KIAA0564|P7BP2	VWA8
AVL9	17	KIAA0241	AVL9
KDM4C	187	GASC1|JHDM3C|JMJD2C|TDRD14C	KDM4C
PPRC1	15	PRC	PPRC1
ERC1	114	Cast2|ELKS|ERC-1|RAB6IP2	ERC1
EXPH5	29	EBS4|SLAC2-B|SLAC2B	EXPH5
TRIM35	34	HLS5|MAIR	TRIM35
PEG10	314	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3|RTL2|SIRH1	PEG10
ZNF423	75	Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104|hOAZ	ZNF423
ZC3H13	125	KIAA0853|Xio	ZC3H13
ARHGAP26	95	GRAF|GRAF1|OPHN1L|OPHN1L1	ARHGAP26
TTLL5	30	CORD19|KIAA0998|STAMP	TTLL5
SIPA1L3	16	CTRCT45|SPAL3|SPAR3	SIPA1L3
KIF1B	192	CMT2|CMT2A|CMT2A1|HMSNII|KLP|NBLST1	KIF1B
IQSEC2	90	BRAG1|IQ-ArfGEF|MRX1|MRX18|MRX78|XLID1	IQSEC2
CDK19	132	CDC2L6|CDK11|DEE87|EIEE87|bA346C16.3	CDK19
SARM1	297	HsTIR|MyD88-5|SAMD2|SARM|hSARM1	SARM1
ZBTB43	4	ZBTB22B|ZNF-X|ZNF297B	ZBTB43
MCF2L2	4	ARHGEF22	MCF2L2
TBC1D2B	7	NEDSGO	TBC1D2B
FSTL4	14	-	FSTL4
MRPS27	16	MRP-S27|S27mt	MRPS27
RAP1GAP2	16	GARNL4|RAP1GA3	RAP1GAP2
DDN	446	-	DDN
SPART	109	SPG20|TAHCCP1	SPART
TNRC6B	67	GDSBA	TNRC6B
CUL9	33	H7AP1|PARC	CUL9
NFASC	244	NEDCPMD|NF|NRCAML	NFASC
TOGARAM1	3	FAM179B|JBTS37|KIAA0423	TOGARAM1
NPIPB3	1	KIAA0220L|NPIP|NPIPB|NPIPB5|NPIPL3	NPIPB3
TAB2	355	CHTD2|MAP3K7IP2|TAB-2	TAB2
HIC2	26	HRG22|ZBTB30|ZNF907	HIC2
ATP10B	18	ATPVB	ATP10B
CLASP2	100	-	CLASP2
CAMTA2	28	-	CAMTA2
POGZ	79	MRD37|WHSUS|ZNF280E|ZNF635|ZNF635m	POGZ
COLGALT2	19	C1orf17|ColGalT 2|GLT25D2	COLGALT2
PLXND1	141	CHTD9|PLEXD1	PLXND1
ATG2A	55	BLTP4A	ATG2A
GPATCH8	4	GPATC8|KIAA0553	GPATCH8
RAD54L2	13	ARIP4|HSPC325|SRISNF2L	RAD54L2
PHF8	129	JHDM1F|KDM7B|MRXSSD|ZNF422	PHF8
KDM6B	662	JMJD3|NEDCFSA	KDM6B
EPB41L3	152	4.1B|DAL-1|DAL1	EPB41L3
SMC5	342	ATELS2|SMC5L1	SMC5
N4BP3	8	LZTS4	N4BP3
MAST2	52	MAST205|MTSSK	MAST2
ZZEF1	3	ZZZ4	ZZEF1
ANKLE2	23	KIAA0692|LEMD7|Lem4|MCPH16	ANKLE2
DCUN1D4	3	DCNL4	DCUN1D4
LRCH1	23	CHDC1|NP81	LRCH1
ZC3H3	12	SMICL|ZC3HDC3	ZC3H3
NACAD	17	-	NACAD
FCHO1	40	IMD76	FCHO1
FRMD4B	14	6030440G05Rik|GRSP1	FRMD4B
GRAMD4	16	DIP	GRAMD4
CIC	19099	MRD45	CIC
NCDN	41	NEDIES	NCDN
CLCC1	15	MCLC|RP32	CLCC1
SEPTIN6	54	SEP2|SEPT2|SEPT6	SEPTIN6
TBC1D9	18	GRAMD9|MDR1	TBC1D9
WDR43	18	NET12|UTP5	WDR43
SNX13	22	RGS-PX1	SNX13
MAPK8IP3	107	JIP-3|JIP3|JSAP1|NEDBA|SYD2|syd	MAPK8IP3
GGA3	148	-	GGA3
MPRIP	38	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	MPRIP
NUP205	56	C7orf14|NPHS13	NUP205
STAB1	159	CLEVER-1|FEEL-1|FEEL1|FELE-1|FEX1|SCARH2|STAB-1	STAB1
EFR3A	20	-	EFR3A
RTF1	102	GTL7|KIAA0252	RTF1
SLC35D1	17	SHNKND|UGTREL7	SLC35D1
TTLL12	19	dJ526I14.2	TTLL12
GPD1L	66	GPD1-L	GPD1L
ABRAXAS2	13	ABRO1|FAM175B|KIAA0157	ABRAXAS2
METAP1	60	MAP1A|MetAP1A	METAP1
ZCCHC14	21	BDG-29|BDG29	ZCCHC14
LPIN1	447	PAP1	LPIN1
SEPTIN8	18	SEP2|SEPT8	SEPTIN8
CEP68	28	KIAA0582	CEP68
PASK	669	PASKIN|STK37	PASK
RGL1	82	RGL	RGL1
RFTN1	28	MIG2|PIB10|PIG9|RAFTLIN	RFTN1
DIP2A	46	C21orf106|DIP2	DIP2A
MESD	97	BOCA|MESDC2|OI20	MESD
LARP4B	24	KIAA0217|LARP5	LARP4B
RCOR1	143	COREST|RCOR	RCOR1
PHLDB1	49	LL5A|LL5alpha	PHLDB1
KANK1	107	ANKRD15|CPSQ2|KANK	KANK1
UBXN4	12	UBXD2|UBXDC1|erasin	UBXN4
CYFIP1	173	P140SRA-1|SHYC|SRA-1|SRA1	CYFIP1
ATG4B	344	APG4B|AUTL1|HsAPG4B	ATG4B
GANAB	73	G2AN|GIIA|GLUII|PKD3	GANAB
FBXL7	42	FBL6|FBL7	FBXL7
MDN1	46	Rea1	MDN1
FAM120A	21	C9orf10|HBVPTPAP|OSSA	FAM120A
FAF2	40	ETEA|UBXD8|UBXN3B	FAF2
PSME4	25	PA200	PSME4
GSE1	41	CRHSP24|KIAA0182	GSE1
ATP11B	30	ATPIF|ATPIR	ATP11B
FAM168A	5	KIAA0280|TCRP1	FAM168A
PMPCA	24	Alpha-MPP|CLA1|CPD3|INPP5E|MAS2|P-55|SCAR2	PMPCA
ARL6IP1	41	AIP1|ARL6IP|ARMER|SPG61	ARL6IP1
ACSBG1	26	BG|BG1|BGM|GR-LACS|LPD	ACSBG1
PLEKHM2	24	SKIP	PLEKHM2
SYT11	57	SYT12|sytXI	SYT11
MLC1	380	LVM|MLC|VL	MLC1
JMJD6	198	PSR|PTDSR|PTDSR1	JMJD6
ZC3H4	27	C19orf7	ZC3H4
RRS1	147	-	RRS1
SULF1	295	SULF-1	SULF1
XPO6	15	EXP6|RANBP20	XPO6
PRRC2C	10	BAT2-iso|BAT2D1|BAT2L2|XTP2	PRRC2C
TBC1D1	205	TBC|TBC1	TBC1D1
ZFR2	10	KIAA1086	ZFR2
NBEAL2	66	BDPLT4|GPS	NBEAL2
FBXO28	27	CENP-30|DEE100|Fbx28	FBXO28
DTX4	32	RNF155	DTX4
RHOBTB2	73	DBC2|DEE64|EIEE64|p83	RHOBTB2
RRP12	27	KIAA0690	RRP12
SYNE2	158	EDMD5|KASH2|NUA|NUANCE|Nesp2|Nesprin-2|SYNE-2|TROPH	SYNE2
NUP210	113	GP210|POM210	NUP210
PLCL2	31	PLCE2	PLCL2
ARHGEF9	92	COLLYBISTIN|DEE8|EIEE8|HPEM-2|PEM-2|PEM2	ARHGEF9
VPS13A	197	BLTP5A|CHAC|CHOREIN	VPS13A
SEL1L3	15	Sel-1L3	SEL1L3
TBC1D12	7	-	TBC1D12
EXOC6B	32	SEC15B|SEC15L2|SEMDJL3	EXOC6B
DNAJC9	15	HDJC9|JDD1|SB73	DNAJC9
SIK2	176	LOH11CR1I|QIK|SIK-2|SNF1LK2	SIK2
PLCB1	331	DEE12|EIEE12|PI-PLC|PLC-154|PLC-I|PLC-beta-1|PLC154|PLCB1A|PLCB1B	PLCB1
ARC	53476	Arg3.1|hArc	ARC
PHLPP1	281	PHLPP|PLEKHE1|PPM3A|SCOP	PHLPP1
TMEM131L	4	KIAA0922	TMEM131L
PACS2	138	DEE66|EIEE66|PACS-2|PACS1L	PACS2
COBL	100	-	COBL
ANKRD28	21	CFAP79|FAP79|PITK|PPP1R65	ANKRD28
PDS5A	38	PIG54|SCC-112|SCC112	PDS5A
ASTN2	72	bA67K19.1	ASTN2
BOP1	118	-	BOP1
KATNIP	9	JBTS26|KIAA0556	KATNIP
RPRD2	6	HSPC099|KIAA0460	RPRD2
ATP11A	59	ATPIH|ATPIS|DFNA84|HLD24	ATP11A
MINAR1	9	KIAA1024|UBTOR	MINAR1
OTUD3	36	DUBA4	OTUD3
ANKRD12	11	ANCO-2|ANCO1|GAC-1|Nbla00144	ANKRD12
KAZN	36	C1orf196|KAZ	KAZN
MTCL1	18	CCDC165|KIAA0802|SOGA2	MTCL1
SCFD1	39	C14orf163|RA410|SLY1|SLY1P|STXBP1L2	SCFD1
DENND5A	14	DEE49|EIEE49|RAB6IP1	DENND5A
DDHD2	50	SAMWD1|SPG54|iPLA(1)gamma|iPLA1A|iPLA1gamma|p125B	DDHD2
CAMTA1	185	CANPMR|CECBA	CAMTA1
PPIP5K2	30	CFAP160|DFNB100|HISPPD1|IP7K2|VIP2	PPIP5K2
MCF2L	73	ARHGEF14|DBS|OST	MCF2L
ZC3H7B	46	ROXAN1|RoXaN	ZC3H7B
EXOC7	72	2-5-3p|BLOM4|EX070|EXO70|EXOC1|Exo70p|NEDSEBA|YJL085W	EXOC7
ADGRL2	26	CIRL2|CL2|LEC1|LPHH1|LPHN2	ADGRL2
DNMBP	36	ARHGEF36|CTRCT48|TUBA	DNMBP
MGA	1497	MAD5|MXD5	MGA
TSPYL4	10	dJ486I3.2	TSPYL4
CAMSAP2	34	CAMSAP1L1	CAMSAP2
TASOR	17	C3orf63|FAM208A|RAP140|TASOR1|se89-1	TASOR
CLEC16A	140	Gop-1|KIAA0350	CLEC16A
POFUT2	39	C21orf80|FUT13	POFUT2
KLHL18	8	-	KLHL18
CLUH	24	CLU1	CLUH
NUP160	74	NPHS19	NUP160
MTUS2	11	CAZIP|ICIS|KIAA0774|TIP150	MTUS2
CSTF2T	55	CstF-64T	CSTF2T
ADGRL3	74	CIRL3|CL3|LEC3|LPHN3	ADGRL3
WWC1	171	HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168	WWC1
AGTPBP1	62	CCP1|CONDCA|NNA1	AGTPBP1
IQCE	21	1700028P05Rik|PAPA7	IQCE
FBXW11	72	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos|NEDJED	FBXW11
SMG6	112	C17orf31|EST1A|SMG-6|hEST1A|hSMG5/7a	SMG6
ANKS1A	24	ANKS1	ANKS1A
MGRN1	71	RNF156	MGRN1
BICD2	158	SMALED2|SMALED2A|SMALED2B|bA526D8.1	BICD2
ATMIN	66	ASCIZ|ZNF822	ATMIN
EHBP1	49	HPC12|NACSIN	EHBP1
WSCD1	6	-	WSCD1
KIF13B	65	GAKIN	KIF13B
UBR2	90	C6orf133|bA49A4.1|dJ242G1.1|dJ392M17.3	UBR2
ACSL6	96	ACS2|FACL6|LACS 6|LACS2|LACS5	ACSL6
NEMP1	11	TMEM194|TMEM194A	NEMP1
FKBP15	10	FKBP133|KIAA0674|PPP1R76	FKBP15
ICOSLG	198	B7-H2|B7H2|B7RP-1|B7RP1|B7h|CD275|GL50|ICOS-L|ICOSL|LICOS	ICOSLG
SIN3B	107	-	SIN3B
NCAPD3	23	CAP-D3|CAPD3|MCPH22|hCAP-D3|hHCP-6|hcp-6	NCAPD3
DMXL2	39	DEE81|DFNA71|EIEE81|PEPNS|RC3	DMXL2
KIAA0930	3	C22orf9|LSC3	KIAA0930
SATB2	713	C2DELq32q33|DEL2Q32Q33|GLSS	SATB2
SLC9A8	55	NHE-8|NHE8	SLC9A8
CUX2	198	CDP2|CUTL2|DEE67|EIEE67	CUX2
DNAJC13	55	PARK21|RME8	DNAJC13
TUT4	81	PAPD3|TENT3A|ZCCHC11	TUT4
TRIM2	62	CMT2R|RNF86	TRIM2
RPGRIP1L	138	COACH3|CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134	RPGRIP1L
MAN2B2	16	EpMAN	MAN2B2
WASHC4	7	KIAA1033|MRT43|SWIP	WASHC4
USP22	254	USP3L	USP22
NEDD4L	686	NEDD4-2|NEDD4.2|PVNH7|RSP5|hNEDD4-2	NEDD4L
SASH1	127	CAPOK|DUH|DUH1|SH3D6A|dJ323M4.1	SASH1
TBC1D30	4	-	TBC1D30
TTC28	24	TPRBK	TTC28
CLASP1	84	MAST1	CLASP1
DPY19L1	12	-	DPY19L1
SZT2	38	C1orf84|DEE18|EIEE18|KIAA0467|KICS1|SZT2A|SZT2B	SZT2
WDR7	20	TRAG	WDR7
SYNM	29	DMN|SYN	SYNM
JADE2	11	JADE-2|PHF15	JADE2
VPS39	77	TLP|VAM6|hVam6p	VPS39
DNAJC16	6	ERdj8	DNAJC16
ESYT1	45	FAM62A|MBC2	ESYT1
SYNE1	318	8B|AMC3|AMCM|ARCA1|C6orf98|CPG2|EDMD4|KASH1|MYNE1|Nesp1|SCAR8|dJ45H2.2	SYNE1
SMCHD1	163	BAMS|FSHD2	SMCHD1
DOCK9	59	ZIZ1|ZIZIMIN1	DOCK9
PHF24	4	GINIP	PHF24
U2SURP	9	SR140|fSAPa	U2SURP
KHNYN	15	KIAA0323	KHNYN
UBR4	80	RBAF600|ZUBR1|p600	UBR4
SUN1	333	UNC84A	SUN1
HAUS5	4	KIAA0841|dgt5	HAUS5
VPS8	49	KIAA0804	VPS8
ANGEL1	3	Ccr4e|KIAA0759	ANGEL1
USP24	41	-	USP24
ENTREP2	0	FAM189A1|TMEM228	ENTREP2
FNBP4	16	FBP30	FNBP4
ZNF629	0	ZNF|ZNF65	ZNF629
PSD3	46	EFA6D|EFA6R|HCA67	PSD3
OBSL1	63	-	OBSL1
ARHGEF12	129	LARG|PRO2792	ARHGEF12
MATCAP2	0	KIAA0895	MATCAP2
LARP1	110	LARP|Lar1|Lhp1	LARP1
PPP1R13B	60	ASPP1|p53BP2-like|p85	PPP1R13B
PUM2	164	PUMH2|PUML2	PUM2
ARHGEF18	33	P114-RhoGEF|RP78|SA-RhoGEF|p114RhoGEF	ARHGEF18
TNS2	61	C1-TEN|C1TEN|TENC1	TNS2
CRTC1	478	MAML2|MECT1|Mam-2|TORC-1|TORC1|WAMTP1	CRTC1
UFL1	72	KIAA0776|Maxer|NLBP|RCAD	UFL1
RRP8	24	KIAA0409|NML	RRP8
ICE1	201	KIAA0947	ICE1
SRGAP2	79	ARHGAP34|FNBP2|SRGAP2A|SRGAP3	SRGAP2
SMG5	64	EST1B|LPTS-RP1|LPTSRP1|SMG-5	SMG5
AHCYL2	21	ADOHCYASE3|IRBIT2	AHCYL2
MAU2	41	KIAA0892|MAU2L|SCC4|mau-2	MAU2
SPECC1L	47	CYTSA|GBBB2|OBLFC1|TBHS|TBHS1	SPECC1L
NCSTN	120	ATAG1874	NCSTN
NUDCD3	7	NudCL	NUDCD3
SIK3	120	L19|QSK|SEMDK|SIK-3	SIK3
MED13L	71	MRFACD|PROSIT240|THRAP2|TRAP240L	MED13L
ZDHHC17	57	DHHC-17|DHHC17|HIP14|HIP3|HSPC294|HYPH	ZDHHC17
ECPAS	16	ECM29|KIAA0368	ECPAS
ADNP	327	ADNP1|HVDAS|MRD28	ADNP
LARS2	67	HLASA|LEURS|PRLTS4|mtLeuRS	LARS2
PIP5K1C	53	LCCS3|PIP5K-GAMMA|PIP5K1-gamma|PIP5Kgamma	PIP5K1C
NCAPH	70	BRRN1|CAP-H|CAPH|MCPH23|NCAPH1	NCAPH
PPWD1	11	-	PPWD1
CTDNEP1	22	DULLARD|HSA011916|NET56	CTDNEP1
ATP13A2	361	CLN12|HSA9947|KRPPD|PARK9|SPG78	ATP13A2
FRAT2	33	FRAT-2	FRAT2
FBXO46	3	20D7-FC4|FBXO34L|Fbx46	FBXO46
EXOSC2	24	RRP4|Rrp4p|SHRF|hRrp4p|p7	EXOSC2
DICER1	1975	DCR1|Dicer|Dicer1e|GLOW|HERNA|K12H4.8-LIKE|MNG1|RMSE2|aviD	DICER1
COTL1	57	CLP	COTL1
SIRT5	462	SIR2L5	SIRT5
SIRT4	351	SIR2L4	SIRT4
SIRT3	2673	SIR2L3	SIRT3
SIRT1	13749	SIR2|SIR2L1|SIR2alpha	SIRT1
COMMD3	18	BUP|C10orf8	COMMD3
NCS1	324	FLUP|FREQ	NCS1
ZFPM2	239	DIH3|FOG2|SRXY9|ZC2HC11B|ZNF89B|hFOG-2	ZFPM2
KCNH4	20	BEC2|ELK1|Kv12.3	KCNH4
KCNH3	29	BEC1|ELK2|Kv12.2	KCNH3
MLYCD	35	MCD	MLYCD
CRB1	486	CRB1-A|CRB1-B|CRB1-C|LCA8|RP12	CRB1
NOMO1	44	Nomo|PM5	NOMO1
ITGB3BP	48	CENP-R|CENPR|HSU37139|NRIF3|TAP20	ITGB3BP
TMED3	26	C15orf22|P24B|p24g4|p24gamma4|p26	TMED3
TDRD7	76	CATC4|PCTAIRE2BP|TRAP	TDRD7
GRIP1	478	FRASRS3|GRIP	GRIP1
SLC7A8	172	LAT2|LPI-PC1	SLC7A8
RYBP	140	AAP1|APAP-1|DEDAF|YEAF1	RYBP
TPSD1	4	MCP7-LIKE|MCP7L1|MMCP-7L	TPSD1
AP4E1	30	CPSQ4|SPG51|STUT1	AP4E1
GPR161	76	RE2	GPR161
RHOQ	113	ARHQ|HEL-S-42|RASL7A|TC10|TC10A	RHOQ
TARDBP	1634	ALS10|TDP-43	TARDBP
CELA3B	19	CBPP|ELA3B	CELA3B
HARS2	38	HARSL|HARSR|HO3|HisRS|PRLTS2	HARS2
ATP1B4	14	-	ATP1B4
OTP	9958	-	OTP
SLC35A3	50	AMRS	SLC35A3
SLC44A1	70	CD92|CDW92|CHTL1|CONATOC|CTL1	SLC44A1
SF3B3	49	RSE1|SAP130|SF3b130|STAF130	SF3B3
SF3B1	1174	Hsh155|MDS|PRP10|PRPF10|SAP155|SF3b155	SF3B1
ANGPTL2	269	ARP2|HARP	ANGPTL2
ABCB10	98	EST20237|M-ABC2|MTABC2	ABCB10
ABCB9	62	EST122234|TAPL	ABCB9
ABCA6	46	EST155051	ABCA6
ABCA5	56	ABC13|EST90625|HTC3	ABCA5
HEY1	725	BHLHb31|CHF2|HERP2|HESR1|HRT-1|NERP2|OAF1|hHRT1	HEY1
ICMT	246	HSTE14|MST098|MSTP098|PCCMT|PCMT|PPMT	ICMT
GCAT	1002	KBL	GCAT
CBX6	55	-	CBX6
NPTXR	27	NPR	NPTXR
CBX5	494	HEL25|HP1|HP1A	CBX5
PHF3	28	-	PHF3
TRAM1	67	PNAS8|TRAM|TRAMP	TRAM1
CAPN7	23	CALPAIN7|PALBH	CAPN7
ETHE1	110	HSCO|YF13H12	ETHE1
QPRT	74	HEL-S-90n|QPRTase	QPRT
BRD4	2462	CAP|FSHRG4|HUNK1|HUNKI|MCAP	BRD4
SEC11A	25	1810012E07Rik|SEC11L1|SPC18|SPCS4A|sid2895	SEC11A
ISCU	448	2310020H20Rik|HML|ISU2|NIFU|NIFUN|hnifU	ISCU
SEC61G	47	SSS1	SEC61G
PES1	120	NOP7|PES	PES1
TGDS	62	CATMANS|SDR2E1|TDPGD	TGDS
LEPROTL1	15	HSPC112|Vps55|my047	LEPROTL1
CES3	43	ES31	CES3
CBX7	219	-	CBX7
HEY2	396	CHF1|GRIDLOCK|GRL|HERP1|HESR2|HRT2|bHLHb32	HEY2
TNFRSF13B	370	CD267|CVID|CVID2|IGAD2|RYZN|TACI|TNFRSF14B	TNFRSF13B
HAAO	39	3-HAO|HAO|VCRL1|h3HAO	HAAO
MACF1	178	ABP620|ACF7|KIAA0754|LIS9|Lnc-PMIF|MACF|OFC4	MACF1
DAAM2	73	NPHS24|dJ90A20A.1	DAAM2
ZFYVE26	63	FYVE-CENT|SPG15	ZFYVE26
RIMBP2	18	PPP1R133|RBP2|RIM-BP2	RIMBP2
TMEM131	7	CC28|PRO1048|RW1|YR-23	TMEM131
BICRAL	0	GLTSCR1L|KIAA0240|SMARCK2	BICRAL
LRRC8B	22	TA-LRRP|TALRRP	LRRC8B
TTC9	15	TTC9A	TTC9
POFUT1	136	DDD2|FUT12|O-FUT|O-Fuc-T|O-FucT-1|OFUCT1	POFUT1
KCTD2	13	-	KCTD2
NUP188	48	KIAA0169|SANDSTEF|hNup188	NUP188
SUZ12	762	CHET9|IMMAS|JJAZ1	SUZ12
SCRIB	444	CRIB1|SCRB1|SCRIB1|Vartul|oSCRIB	SCRIB
SPIDR	23	KIAA0146|ODG9	SPIDR
MORC3	91	NXP2|ZCW5|ZCWCC3	MORC3
SLC39A14	190	HCIN|HMNDYT2|LZT-Hs4|NET34|ZIP14|cig19	SLC39A14
MTREX	37	Dob1|KIAA0052|Mtr4|SKIV2L2|fSAP118	MTREX
R3HDM1	17	R3HDM	R3HDM1
ANP32D	6	PP32R2	ANP32D
RPL13A	226	L13A|TSTA1|uL13	RPL13A
KAT6B	150	GTPTS|MORF|MOZ2|MYST4|ZC2HC6B|qkf|querkopf	KAT6B
CABIN1	130	CAIN|KB-318B8.7|PPP3IN	CABIN1
SRRM2	61	300-KD|CWF21|Cwc21|HSPC075|SRL300|SRm300	SRRM2
ARHGAP45	6	HA-1|HLA-HA1|HMHA1	ARHGAP45
ACAP2	41	CENTB2|CNT-B2	ACAP2
ZNF281	54	GZP1|ZBP-99|ZBP99|ZNP-99	ZNF281
CLCF1	63	BSF-3|BSF3|CISS2|CLC|NNT-1|NNT1|NR6	CLCF1
NNT	3743	GCCD4	NNT
MMD	3063	MMA|MMD1|PAQR11	MMD
PRAME	527	CT130|MAPE|OIP-4|OIP4	PRAME
PIK3R5	58	F730038I15Rik|FOAP-2|P101-PI3K|p101	PIK3R5
TNPO3	108	IPO12|LGMD1F|LGMDD2|MTR10A|TRN-SR|TRN-SR2|TRNSR	TNPO3
ADAT1	11	HADAT1	ADAT1
OR52A1	8	HPFH1OR	OR52A1
SLC16A8	22	MCT3|REMP	SLC16A8
SEC14L2	73	C22orf6|SPF|TAP|TAP1	SEC14L2
MAPK8IP2	42	IB-2|IB2|JIP2|PRKM8IPL	MAPK8IP2
RBFOX2	152	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	RBFOX2
SEZ6L	35	-	SEZ6L
ATP6V0A2	78	A2|ARCL|ARCL2A|ATP6A2|ATP6N1D|J6B7|RTF|STV1|TJ6|TJ6M|TJ6S|VPH1|WSS|a2V	ATP6V0A2
SYNGR4	2	-	SYNGR4
LILRA4	30	CD85g|ILT7	LILRA4
TTC33	1	OSRF	TTC33
DNPEP	23	ASPEP|DAP	DNPEP
PSD4	18	EFA6B|TIC	PSD4
RASD2	75	Rhes|TEM2	RASD2
CDK20	18	CCRK|CDCH|P42|PNQALRE	CDK20
HYAL4	26	CSHY|HYAL-4	HYAL4
TSPAN12	132	EVR5|NET-2|NET2|TM4SF12	TSPAN12
TSPAN15	31	2700063A19Rik|NET-7|NET7|TM4SF15	TSPAN15
PIGN	160	MCAHS|MCAHS1|MCD4|MDC4|PIG-N	PIGN
SNAPIN	150	BLOC1S7|BLOS7|BORCS3|SNAPAP	SNAPIN
WBP2	57	DFNB107|GRAMD6|WBP-2	WBP2
WBP1	53	WBP-1	WBP1
GTPBP4	26	CRFG|NGB|NOG1	GTPBP4
CLDN14	88	DFNB29	CLDN14
CHST5	20	I-GlcNAc-6-ST|I-GlcNAc6ST|glcNAc6ST-3|gn6st-3|hIGn6ST	CHST5
DDAH2	212	DDAH|DDAHII|G6a|HEL-S-277|NG30	DDAH2
LPAR3	127	EDG7|Edg-7|GPCR|HOFNH30|LP-A3|LPA3|RP4-678I3	LPAR3
ZNF346	15	JAZ|Zfp346	ZNF346
ARL2BP	38	BART|BART1|RP66	ARL2BP
PADI4	547	PAD|PAD4|PADI5|PDI4|PDI5	PADI4
DDAH1	332	DDAH|DDAH-1|DDAHI|HEL-S-16	DDAH1
CDC42EP4	25	BORG4|CEP4|KAIA1777	CDC42EP4
CASP14	197	ARCI12	CASP14
CCNDBP1	40	DIP1|GCIP|HHM	CCNDBP1
SMUG1	153	FDG|HMUDG|UNG3	SMUG1
VSIG2	14	2210413P10Rik|CTH|CTXL	VSIG2
TMEM50A	4	IFNRC|SMP1	TMEM50A
RIGI	2742	DDX58|RIG-I|RIG1|RLR-1|SGMRT2	RIGI
ELP5	18	C17orf81|DERP6|HSPC002|MST071|MSTP071	ELP5
KLHDC2	10	HCLP-1|HCLP1|LCP	KLHDC2
CARHSP1	18	CRHSP-24|CRHSP24|CSDC1	CARHSP1
PDSS1	40	COQ1|COQ10D2|COQ1A|DPS|SPS|TPRT|TPT|TPT 1|hDPS1	PDSS1
LEMD3	120	MAN1	LEMD3
HEBP2	22	C6ORF34B|C6orf34|PP23|SOUL	HEBP2
ORC6	98	ORC6L	ORC6
ORC3	47	LAT|LATHEO|ORC3L	ORC3
OPN3	87	ECPN|PPP1R116	OPN3
ACOT9	13	ACATE2|CGI-16|MT-ACT48|MTACT48	ACOT9
